Pred_inc,Pred_PA,Real_inc,Real_PA
-49.9554,87.8724,-57.4,111.50654
-7.749634,-117.6096,6.6,245.52612
-67.8436,12.74978,-65.8,24.002613
-6.089652,-121.80839,-6.0,247.1561
71.25984,103.65513,72.3,127.146996
-71.01109,96.28447,-76.5,125.11673
61.436234,-88.05836,63.8,255.99611
-13.4331255,-42.911617,-20.1,313.72794
-16.233528,-107.521675,-18.7,247.08458
-68.88066,9.465965,-65.8,22.725441
77.52405,116.64733,83.3,121.79583
-18.157896,-165.33366,-20.5,157.0052
69.623764,-150.31403,64.4,188.08206
-36.16766,-134.44176,-42.4,227.81812
-39.494698,16.697203,-37.7,20.321165
-58.7677,91.16728,-54.8,103.45538
-34.5449,26.237612,-32.9,35.89297
-56.291214,-71.44133,-58.1,281.25208
14.99932,-128.26562,16.2,224.75317
-72.78033,12.325718,69.9,5.662112
-54.42124,-64.93881,-53.4,291.2727
-44.690216,-176.00096,-43.7,184.87071
-0.96094906,156.76974,-2.2,156.54434
13.172021,-134.83005,11.2,214.6972
-54.677303,127.819824,-62.3,141.9319
-18.73368,-163.62428,-18.6,185.78917
67.98992,-111.65647,72.7,241.41473
10.57653,-87.74858,6.1,272.55835
-32.47767,98.612785,-26.6,105.921326
50.23736,28.864613,51.0,19.172771
-13.698456,-15.180777,-16.8,345.64023
-65.37209,86.71586,-72.3,89.53197
-53.00326,91.86648,-87.7,99.54455
5.4547305,-90.25658,10.3,271.22977
63.551483,68.793045,67.5,68.49562
17.819027,-25.459986,24.0,327.1867
-13.039215,121.06485,88.0,55.992386
60.276157,130.04158,52.6,106.74691
-64.35464,123.25766,-68.5,236.98152
-40.67919,-184.8928,-38.4,189.5725
-70.33233,-166.58356,-76.8,215.97691
23.911974,-112.19644,26.1,241.29083
12.224172,50.992836,-89.4,41.912525
11.573457,-81.65194,14.2,282.43158
-6.648203,-114.67594,-1.5,231.55614
62.979668,-137.29263,85.4,186.87862
-15.004401,-95.07085,-16.7,252.3417
-42.988007,-33.01838,-40.3,317.98798
84.1574,-149.26556,-85.3,191.4104
-1.8105526,-95.23889,0.4,266.0344
50.61887,44.804432,-83.9,109.53337
54.067223,28.246563,57.8,28.004559
33.205906,-32.138866,32.5,322.52167
40.60496,141.02538,45.9,141.5649
37.08337,39.988533,42.4,40.11559
59.887646,-111.61781,67.7,256.6038
-38.32487,-178.5937,-40.6,183.58745
67.70603,-111.177864,70.9,231.60825
-51.509125,-12.939112,-48.6,346.3679
53.081055,147.73088,80.7,148.15874
-85.612595,94.9397,-86.4,105.58132
-3.0884154,101.890465,1.1,111.82049
78.86602,27.039436,85.7,40.982594
50.9779,46.17588,49.7,45.56423
-9.121811,128.81653,27.0,129.55046
43.786533,-91.418625,39.6,263.23975
15.047755,116.28551,13.5,121.47702
11.070907,93.3524,5.4,102.130196
88.37969,16.406116,86.6,176.75272
62.136818,-123.22995,65.6,239.13821
22.73843,-79.053665,32.1,263.87454
-9.723085,122.26041,-9.4,143.08672
-30.846815,-127.94289,-35.2,227.09944
48.35888,-28.33601,48.2,320.98962
69.01007,-152.26158,76.4,209.20041
57.581104,52.360107,52.6,50.955353
22.678343,-159.7766,24.5,189.23656
-5.211855,54.727356,1.7,46.867237
-24.194967,-131.76265,-25.7,219.87782
-13.288993,54.1077,-16.5,57.96444
70.90652,-81.68468,69.8,279.7658
39.66758,67.62743,40.7,75.790016
-36.30963,-104.54741,-61.0,279.53766
-65.64454,-148.8086,-72.2,209.2574
61.009727,-88.87513,66.1,276.24863
-36.6617,-174.55936,-40.3,173.64233
50.279816,73.0384,41.9,71.21967
3.557293,146.90176,4.7,155.01811
-7.650825,128.58994,-25.9,129.67825
-50.463497,-48.984932,-61.0,308.8271
-55.351807,158.31718,-58.9,170.20653
62.23492,-85.64015,75.5,236.85791
61.071587,-46.21357,67.3,298.73505
45.544086,-20.16933,39.3,337.81372
-63.502483,122.97975,-70.2,107.8977
-48.21884,42.260525,-68.1,47.550266
-36.132446,-0.89453006,-51.4,1.2445576
8.023855,144.38226,7.6,144.8849
