,Pred,Real
0,69.09602,72.0
1,68.76521,68.0
2,68.965324,65.0
3,69.45823,67.0
4,69.4705,70.0
5,68.220345,67.0
6,68.59023,64.0
7,69.92996,68.0
8,69.09718,74.0
9,68.678314,64.0
10,68.983795,65.0
11,68.6827,67.0
12,68.799675,70.0
13,69.05848,74.0
14,68.96376,65.0
15,68.71432,72.0
16,68.623,66.0
17,68.47555,72.0
18,68.74483,73.0
19,68.1294,71.0
20,69.01308,73.0
21,68.667244,69.0
22,69.01917,67.0
23,68.55514,67.0
24,68.3076,71.0
25,68.98814,73.0
26,67.82282,66.0
27,69.90798,67.0
28,68.40823,70.0
29,68.88489,69.0
30,68.61232,68.0
31,68.95179,71.0
32,68.3163,72.0
33,68.51802,71.0
34,68.7439,64.0
35,68.83052,74.0
36,68.83653,65.0
37,68.68376,74.0
38,68.61676,64.0
39,68.37749,67.0
40,68.649605,64.0
41,68.8521,70.0
42,68.83332,66.0
43,68.76148,73.0
44,68.88052,64.0
45,68.71556,69.0
46,68.194855,72.0
47,68.55077,66.0
48,68.727844,72.0
49,68.90696,65.0
50,69.46439,70.0
51,68.92642,65.0
52,69.12317,71.0
53,68.45951,66.0
54,68.552605,70.0
55,68.91606,67.0
56,68.896866,74.0
57,68.66501,67.0
58,68.89108,70.0
59,68.66539,70.0
60,68.873405,66.0
61,68.888435,68.0
62,68.77562,67.0
63,69.08393,67.0
64,68.669685,70.0
65,68.57792,70.0
66,69.044395,69.0
67,69.10727,66.0
68,68.69801,71.0
69,68.77954,66.0
70,69.03949,69.0
71,69.11386,68.0
72,68.468666,66.0
73,68.560425,73.0
74,68.84232,72.0
75,68.81129,65.0
76,68.803,68.0
77,70.01904,72.0
78,68.40272,70.0
79,68.97332,68.0
80,68.717545,67.0
81,68.56217,71.0
82,68.43394,74.0
83,68.71788,71.0
84,68.66191,74.0
85,69.5952,65.0
86,68.85729,64.0
87,69.07184,71.0
88,68.78739,69.0
89,68.96965,73.0
90,68.61233,68.0
91,68.811966,69.0
92,70.13854,65.0
93,69.37023,70.0
94,68.67498,69.0
95,68.68122,67.0
96,68.94137,68.0
97,69.05019,68.0
98,68.73914,64.0
99,68.96661,67.0
100,68.85376,67.0
101,69.172165,67.0
102,68.927025,73.0
103,69.089035,66.0
104,69.384575,65.0
105,68.75783,68.0
106,69.042816,69.0
107,69.23468,65.0
108,69.14365,73.0
109,69.106514,69.0
110,69.12308,73.0
111,68.99281,69.0
112,68.81731,70.0
113,68.89593,69.0
114,68.62445,68.0
115,69.00288,73.0
116,69.11699,71.0
117,68.92609,66.0
118,68.57372,66.0
119,68.54574,69.0
120,68.66915,64.0
121,69.0059,73.0
122,68.21715,69.0
123,68.77676,64.0
124,70.19637,71.0
125,68.83312,71.0
126,69.27722,67.0
127,68.907776,71.0
128,69.174736,65.0
129,69.58192,69.0
130,68.827965,70.0
131,69.148895,65.0
132,68.708374,71.0
133,68.48259,64.0
134,69.381035,69.0
135,68.869675,69.0
136,69.34164,66.0
137,68.4594,71.0
138,68.42459,73.0
139,68.234406,66.0
140,68.89971,64.0
141,68.63474,67.0
142,68.85757,68.0
143,69.42526,66.0
144,68.79427,66.0
145,69.03427,74.0
146,68.5696,69.0
147,68.82618,74.0
148,68.7792,69.0
149,68.890854,73.0
150,68.29322,71.0
151,68.719154,70.0
152,68.93173,74.0
153,67.707855,66.0
154,68.76323,74.0
155,68.61838,67.0
