,Pred,Real
0,2.0,2.0
1,3.0,3.0
2,2.0,2.0
3,1.0,1.0
4,2.0,2.0
5,2.0,2.0
6,1.0,1.0
7,2.0,2.0
8,2.0,2.0
9,2.0,2.0
10,0.0,0.0
11,3.0,3.0
12,1.0,1.0
13,2.0,2.0
14,0.0,0.0
15,2.0,2.0
16,2.0,2.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,0.0,0.0
23,2.0,2.0
24,1.0,1.0
25,3.0,3.0
26,2.0,2.0
27,3.0,3.0
28,0.0,0.0
29,3.0,3.0
30,1.0,1.0
31,0.0,0.0
32,2.0,2.0
33,2.0,2.0
34,2.0,2.0
35,2.0,2.0
36,0.0,0.0
37,3.0,3.0
38,0.0,0.0
39,1.0,1.0
40,2.0,2.0
41,3.0,3.0
42,2.0,2.0
43,3.0,3.0
44,1.0,1.0
45,1.0,1.0
46,2.0,2.0
47,2.0,2.0
48,3.0,3.0
49,3.0,3.0
50,1.0,1.0
51,3.0,3.0
52,0.0,0.0
53,2.0,2.0
54,1.0,1.0
55,2.0,2.0
56,0.0,0.0
57,3.0,3.0
58,0.0,0.0
59,2.0,2.0
60,1.0,1.0
61,1.0,1.0
62,0.0,0.0
63,1.0,1.0
64,3.0,3.0
65,3.0,3.0
66,1.0,1.0
67,2.0,2.0
68,1.0,1.0
69,3.0,3.0
70,2.0,2.0
71,0.0,0.0
72,1.0,1.0
73,1.0,1.0
74,0.0,0.0
75,1.0,1.0
76,3.0,3.0
77,3.0,3.0
78,1.0,1.0
79,2.0,2.0
80,2.0,2.0
81,0.0,0.0
82,2.0,2.0
83,2.0,2.0
84,2.0,2.0
85,3.0,3.0
86,2.0,2.0
87,1.0,1.0
88,2.0,2.0
89,2.0,2.0
90,2.0,2.0
91,2.0,2.0
92,2.0,2.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,3.0,3.0
97,2.0,2.0
98,2.0,2.0
99,2.0,2.0
100,2.0,2.0
101,2.0,2.0
102,2.0,2.0
103,0.0,0.0
104,2.0,2.0
105,3.0,3.0
106,2.0,2.0
107,1.0,1.0
108,1.0,1.0
109,3.0,3.0
110,2.0,2.0
111,2.0,2.0
112,2.0,2.0
113,2.0,2.0
114,0.0,1.0
115,0.0,0.0
116,3.0,3.0
117,0.0,0.0
118,1.0,1.0
119,1.0,1.0
120,2.0,2.0
121,1.0,1.0
122,3.0,3.0
123,1.0,1.0
124,3.0,3.0
125,3.0,3.0
126,0.0,0.0
127,0.0,0.0
128,2.0,2.0
129,2.0,2.0
130,3.0,3.0
131,0.0,0.0
132,3.0,3.0
133,0.0,0.0
134,2.0,2.0
135,3.0,3.0
136,0.0,0.0
137,3.0,3.0
138,2.0,2.0
139,2.0,2.0
140,1.0,1.0
141,1.0,1.0
142,0.0,0.0
143,1.0,1.0
144,3.0,3.0
145,2.0,2.0
146,0.0,0.0
147,0.0,0.0
148,2.0,2.0
149,0.0,0.0
150,0.0,0.0
151,1.0,1.0
152,2.0,2.0
153,3.0,3.0
154,3.0,3.0
155,1.0,1.0
156,1.0,1.0
157,2.0,2.0
158,2.0,2.0
159,2.0,2.0
160,2.0,2.0
161,3.0,3.0
162,3.0,3.0
163,0.0,0.0
164,2.0,2.0
165,1.0,1.0
166,1.0,1.0
167,0.0,0.0
168,2.0,2.0
169,2.0,2.0
170,1.0,1.0
171,2.0,2.0
172,3.0,3.0
173,2.0,2.0
174,0.0,0.0
175,2.0,2.0
176,1.0,1.0
177,3.0,3.0
178,2.0,2.0
179,1.0,1.0
180,2.0,2.0
181,1.0,1.0
182,1.0,1.0
183,1.0,1.0
184,2.0,2.0
185,1.0,1.0
186,1.0,1.0
187,2.0,2.0
188,2.0,2.0
189,2.0,2.0
190,2.0,2.0
191,2.0,2.0
192,2.0,2.0
193,2.0,2.0
194,2.0,2.0
195,3.0,3.0
196,2.0,2.0
197,1.0,1.0
198,2.0,2.0
199,0.0,0.0
200,2.0,2.0
201,0.0,0.0
202,2.0,2.0
203,1.0,1.0
204,2.0,2.0
205,1.0,1.0
206,2.0,2.0
207,2.0,2.0
208,2.0,2.0
209,3.0,3.0
210,1.0,1.0
211,2.0,2.0
212,2.0,2.0
213,2.0,2.0
214,3.0,3.0
215,2.0,2.0
216,3.0,3.0
217,3.0,3.0
218,0.0,0.0
219,0.0,0.0
220,3.0,3.0
221,2.0,2.0
222,3.0,3.0
223,2.0,2.0
224,3.0,3.0
225,3.0,3.0
226,2.0,2.0
227,3.0,3.0
228,1.0,1.0
229,3.0,3.0
230,2.0,2.0
231,0.0,0.0
232,2.0,2.0
233,1.0,1.0
234,3.0,3.0
235,1.0,1.0
236,2.0,2.0
237,1.0,1.0
238,3.0,3.0
239,2.0,2.0
240,2.0,2.0
241,2.0,2.0
242,3.0,3.0
243,0.0,0.0
244,1.0,1.0
245,1.0,1.0
246,0.0,0.0
247,2.0,2.0
248,3.0,3.0
249,3.0,3.0
250,0.0,0.0
251,3.0,3.0
252,1.0,1.0
253,1.0,1.0
254,3.0,3.0
255,1.0,1.0
256,2.0,2.0
257,1.0,1.0
258,0.0,0.0
259,3.0,3.0
260,3.0,3.0
261,0.0,0.0
262,2.0,2.0
263,3.0,3.0
264,2.0,2.0
265,2.0,2.0
266,0.0,0.0
267,0.0,0.0
268,2.0,2.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,3.0,3.0
274,2.0,2.0
275,1.0,1.0
276,2.0,2.0
277,3.0,3.0
278,2.0,2.0
279,0.0,0.0
280,2.0,2.0
281,1.0,1.0
282,2.0,2.0
283,2.0,2.0
284,2.0,2.0
285,1.0,1.0
286,3.0,3.0
287,1.0,1.0
288,0.0,0.0
289,2.0,2.0
290,1.0,1.0
291,2.0,2.0
292,2.0,2.0
293,0.0,0.0
294,3.0,3.0
295,2.0,2.0
296,3.0,3.0
297,2.0,2.0
298,3.0,2.0
299,0.0,0.0
300,3.0,3.0
301,0.0,0.0
302,3.0,3.0
303,2.0,2.0
304,0.0,0.0
305,3.0,3.0
306,2.0,2.0
307,0.0,0.0
308,3.0,3.0
309,2.0,2.0
310,2.0,2.0
311,0.0,0.0
312,0.0,0.0
313,2.0,2.0
314,0.0,0.0
315,2.0,2.0
316,0.0,0.0
317,2.0,2.0
318,3.0,3.0
319,0.0,0.0
320,1.0,1.0
321,0.0,0.0
322,1.0,1.0
323,3.0,3.0
324,2.0,2.0
325,2.0,2.0
326,2.0,2.0
327,2.0,2.0
328,3.0,3.0
329,3.0,3.0
330,0.0,0.0
331,2.0,2.0
332,2.0,2.0
333,2.0,2.0
334,3.0,3.0
335,0.0,0.0
336,2.0,2.0
337,1.0,1.0
338,0.0,0.0
339,1.0,1.0
340,3.0,3.0
341,0.0,0.0
342,1.0,1.0
343,3.0,3.0
344,2.0,2.0
345,2.0,2.0
346,1.0,1.0
347,1.0,1.0
348,3.0,3.0
349,2.0,2.0
350,1.0,1.0
351,1.0,1.0
352,2.0,2.0
353,2.0,2.0
354,3.0,3.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,2.0,2.0
359,1.0,1.0
360,2.0,2.0
361,1.0,1.0
362,2.0,2.0
363,2.0,2.0
364,0.0,0.0
365,2.0,2.0
366,1.0,1.0
367,2.0,2.0
368,2.0,2.0
369,2.0,2.0
370,0.0,0.0
371,1.0,1.0
372,2.0,2.0
373,0.0,0.0
374,3.0,3.0
375,3.0,3.0
376,3.0,3.0
377,2.0,2.0
378,2.0,2.0
379,0.0,0.0
380,1.0,1.0
381,2.0,2.0
382,0.0,0.0
383,1.0,1.0
384,2.0,2.0
385,1.0,1.0
386,2.0,2.0
387,2.0,2.0
388,2.0,2.0
389,1.0,1.0
390,2.0,2.0
391,0.0,0.0
392,1.0,1.0
393,2.0,2.0
394,3.0,3.0
395,2.0,2.0
396,1.0,1.0
397,3.0,3.0
398,2.0,2.0
399,0.0,0.0
400,0.0,0.0
401,0.0,0.0
402,1.0,1.0
403,2.0,2.0
404,1.0,1.0
405,0.0,0.0
406,0.0,0.0
407,2.0,2.0
408,1.0,1.0
409,3.0,3.0
410,0.0,0.0
411,0.0,0.0
412,0.0,0.0
413,0.0,0.0
414,0.0,0.0
415,2.0,2.0
416,2.0,2.0
417,2.0,2.0
418,2.0,2.0
419,2.0,2.0
420,3.0,3.0
421,0.0,0.0
422,0.0,0.0
423,3.0,3.0
424,2.0,2.0
425,0.0,0.0
426,2.0,2.0
427,2.0,2.0
428,3.0,3.0
429,2.0,2.0
430,2.0,2.0
431,3.0,3.0
432,2.0,2.0
433,3.0,3.0
434,3.0,3.0
435,0.0,0.0
436,3.0,3.0
437,0.0,0.0
438,2.0,2.0
439,2.0,2.0
440,3.0,3.0
441,1.0,1.0
442,0.0,0.0
443,2.0,2.0
444,0.0,0.0
445,3.0,3.0
446,0.0,0.0
447,2.0,2.0
448,2.0,2.0
449,0.0,0.0
450,1.0,1.0
451,3.0,3.0
452,0.0,0.0
453,2.0,2.0
454,2.0,2.0
455,2.0,2.0
456,2.0,2.0
457,2.0,2.0
458,3.0,3.0
459,0.0,0.0
460,2.0,2.0
461,1.0,1.0
462,1.0,1.0
463,3.0,3.0
464,0.0,1.0
465,0.0,0.0
466,2.0,2.0
467,2.0,2.0
468,3.0,3.0
469,3.0,3.0
470,2.0,2.0
471,0.0,0.0
472,2.0,2.0
473,2.0,2.0
474,3.0,3.0
475,2.0,2.0
476,1.0,1.0
477,2.0,2.0
478,2.0,2.0
479,2.0,2.0
480,2.0,2.0
481,2.0,2.0
482,2.0,2.0
483,1.0,1.0
484,1.0,1.0
485,0.0,0.0
486,2.0,2.0
487,3.0,3.0
488,0.0,0.0
489,2.0,2.0
490,3.0,3.0
491,0.0,0.0
492,3.0,3.0
493,2.0,2.0
494,0.0,0.0
495,2.0,2.0
496,0.0,0.0
497,0.0,0.0
498,1.0,1.0
499,0.0,0.0
500,0.0,0.0
501,0.0,0.0
502,3.0,3.0
503,0.0,0.0
504,2.0,2.0
505,2.0,2.0
506,1.0,1.0
507,2.0,2.0
508,0.0,0.0
509,0.0,0.0
510,1.0,1.0
511,3.0,3.0
512,3.0,3.0
513,2.0,2.0
514,1.0,1.0
515,3.0,3.0
516,2.0,2.0
517,2.0,2.0
518,2.0,2.0
519,3.0,3.0
520,2.0,2.0
521,3.0,3.0
522,0.0,0.0
523,1.0,1.0
524,0.0,0.0
525,2.0,2.0
526,0.0,0.0
527,2.0,2.0
528,3.0,3.0
529,2.0,2.0
530,2.0,2.0
531,1.0,1.0
532,2.0,2.0
533,3.0,3.0
534,2.0,2.0
535,2.0,2.0
536,1.0,1.0
537,2.0,2.0
538,3.0,3.0
539,0.0,0.0
540,2.0,2.0
541,2.0,2.0
542,0.0,0.0
543,0.0,0.0
544,2.0,2.0
545,1.0,1.0
546,2.0,2.0
547,3.0,3.0
548,1.0,1.0
549,0.0,0.0
550,2.0,2.0
551,1.0,1.0
552,1.0,1.0
553,2.0,2.0
554,2.0,2.0
555,3.0,3.0
556,3.0,3.0
557,2.0,2.0
558,1.0,1.0
559,1.0,1.0
560,3.0,3.0
561,0.0,0.0
562,1.0,1.0
563,2.0,2.0
564,1.0,1.0
565,1.0,1.0
566,1.0,1.0
567,0.0,0.0
568,0.0,0.0
569,0.0,0.0
570,1.0,1.0
571,0.0,0.0
572,2.0,2.0
573,2.0,2.0
574,2.0,2.0
575,3.0,3.0
576,0.0,0.0
577,1.0,1.0
578,2.0,2.0
579,2.0,2.0
580,2.0,2.0
581,2.0,2.0
582,1.0,2.0
583,0.0,0.0
584,3.0,3.0
585,3.0,3.0
586,2.0,2.0
587,2.0,2.0
588,3.0,3.0
589,3.0,3.0
590,3.0,3.0
591,0.0,0.0
592,1.0,1.0
593,1.0,1.0
594,3.0,3.0
595,2.0,2.0
596,0.0,0.0
597,0.0,0.0
598,3.0,3.0
599,2.0,2.0
600,3.0,3.0
601,1.0,1.0
602,3.0,3.0
603,3.0,3.0
604,0.0,0.0
605,1.0,1.0
606,1.0,1.0
607,1.0,1.0
608,3.0,3.0
609,3.0,3.0
610,1.0,1.0
611,2.0,2.0
612,1.0,1.0
613,0.0,0.0
614,1.0,1.0
615,0.0,0.0
616,2.0,2.0
617,3.0,3.0
618,2.0,2.0
619,2.0,2.0
620,2.0,2.0
621,0.0,0.0
622,2.0,2.0
623,0.0,0.0
624,3.0,3.0
625,1.0,1.0
626,3.0,3.0
627,3.0,2.0
628,1.0,1.0
629,2.0,2.0
630,1.0,1.0
631,1.0,1.0
632,1.0,1.0
633,1.0,1.0
634,2.0,2.0
635,1.0,1.0
636,3.0,3.0
637,1.0,1.0
638,3.0,3.0
639,0.0,0.0
640,2.0,2.0
641,1.0,1.0
642,1.0,1.0
643,2.0,3.0
644,2.0,2.0
645,1.0,1.0
646,3.0,3.0
647,0.0,0.0
648,2.0,2.0
649,1.0,1.0
650,2.0,2.0
651,1.0,1.0
652,0.0,0.0
653,3.0,3.0
654,2.0,2.0
655,3.0,3.0
656,0.0,0.0
657,3.0,3.0
658,2.0,2.0
659,3.0,3.0
660,3.0,3.0
661,3.0,3.0
662,2.0,2.0
663,1.0,1.0
664,0.0,0.0
665,0.0,0.0
666,2.0,2.0
667,1.0,1.0
668,1.0,1.0
669,3.0,3.0
670,0.0,0.0
671,3.0,3.0
672,1.0,1.0
673,2.0,2.0
674,2.0,2.0
675,3.0,3.0
676,1.0,1.0
677,0.0,0.0
678,2.0,2.0
679,2.0,2.0
680,2.0,2.0
681,2.0,2.0
682,1.0,1.0
683,3.0,3.0
684,1.0,1.0
685,2.0,2.0
686,3.0,3.0
687,0.0,0.0
688,3.0,2.0
689,3.0,3.0
690,1.0,1.0
