,Pred,Real
0,0.0,0.0
1,2.0,2.0
2,1.0,2.0
3,2.0,0.0
4,2.0,2.0
5,1.0,2.0
6,1.0,2.0
7,2.0,0.0
8,2.0,1.0
9,0.0,0.0
10,2.0,1.0
11,1.0,1.0
12,2.0,2.0
13,2.0,1.0
14,0.0,2.0
15,2.0,3.0
16,2.0,2.0
17,0.0,1.0
18,2.0,3.0
19,2.0,2.0
20,0.0,2.0
21,2.0,3.0
22,1.0,3.0
23,2.0,1.0
24,2.0,0.0
25,2.0,0.0
26,1.0,1.0
27,0.0,2.0
28,2.0,0.0
29,2.0,2.0
30,2.0,2.0
31,2.0,2.0
32,2.0,1.0
33,1.0,0.0
34,2.0,2.0
35,0.0,2.0
36,1.0,3.0
37,2.0,3.0
38,0.0,3.0
39,1.0,1.0
40,0.0,2.0
41,0.0,2.0
42,1.0,0.0
43,2.0,3.0
44,1.0,2.0
45,2.0,3.0
46,2.0,1.0
47,0.0,2.0
48,1.0,2.0
49,2.0,2.0
50,2.0,2.0
51,2.0,2.0
52,2.0,0.0
53,2.0,2.0
54,2.0,2.0
55,2.0,1.0
56,0.0,2.0
57,2.0,0.0
58,2.0,1.0
59,2.0,3.0
60,2.0,2.0
61,1.0,1.0
62,1.0,3.0
63,2.0,2.0
64,2.0,2.0
65,2.0,0.0
66,0.0,0.0
67,2.0,3.0
68,2.0,0.0
69,1.0,1.0
70,2.0,3.0
71,2.0,0.0
72,2.0,0.0
73,2.0,2.0
74,2.0,2.0
75,2.0,2.0
76,2.0,0.0
77,2.0,2.0
78,0.0,0.0
79,0.0,0.0
80,2.0,2.0
81,2.0,3.0
82,2.0,0.0
83,2.0,2.0
84,2.0,2.0
85,2.0,3.0
86,2.0,0.0
87,0.0,2.0
88,2.0,3.0
89,0.0,2.0
90,1.0,1.0
91,0.0,2.0
92,2.0,3.0
93,1.0,0.0
94,0.0,2.0
95,2.0,3.0
96,2.0,0.0
97,2.0,2.0
98,0.0,2.0
99,2.0,2.0
100,2.0,2.0
101,2.0,1.0
102,2.0,2.0
103,2.0,2.0
104,2.0,1.0
105,2.0,3.0
106,2.0,3.0
107,0.0,0.0
108,2.0,2.0
109,2.0,2.0
110,1.0,1.0
111,0.0,2.0
112,0.0,1.0
113,2.0,1.0
114,2.0,2.0
115,2.0,2.0
116,2.0,1.0
117,2.0,2.0
118,1.0,1.0
119,1.0,1.0
120,0.0,0.0
121,1.0,1.0
122,0.0,3.0
123,2.0,3.0
124,0.0,0.0
125,0.0,3.0
126,1.0,1.0
127,1.0,3.0
128,2.0,2.0
129,1.0,1.0
130,2.0,3.0
131,2.0,1.0
132,1.0,2.0
133,2.0,1.0
134,2.0,0.0
135,1.0,2.0
136,2.0,2.0
137,2.0,3.0
138,2.0,3.0
139,1.0,2.0
140,1.0,2.0
141,0.0,0.0
142,1.0,1.0
143,0.0,1.0
144,0.0,0.0
145,2.0,0.0
146,2.0,2.0
147,1.0,0.0
148,1.0,1.0
149,0.0,1.0
150,2.0,0.0
151,2.0,0.0
152,2.0,2.0
153,0.0,2.0
154,1.0,2.0
155,2.0,3.0
156,0.0,2.0
157,2.0,3.0
158,0.0,2.0
159,0.0,1.0
160,2.0,2.0
161,2.0,2.0
162,1.0,1.0
163,0.0,2.0
164,2.0,3.0
165,1.0,1.0
166,2.0,1.0
167,2.0,2.0
168,0.0,0.0
169,2.0,1.0
170,0.0,2.0
171,2.0,3.0
172,2.0,3.0
173,2.0,3.0
174,2.0,2.0
175,2.0,0.0
176,2.0,2.0
177,1.0,0.0
178,2.0,3.0
179,2.0,2.0
180,2.0,2.0
