,Pred,Real,Pred_raw0,Pred_raw1,Pred_raw2,Pred_raw3
0,3.0,3.0,-8.425118,-2.8329487,0.069016606,9.536627
1,3.0,3.0,-6.538235,-2.1551504,0.089342505,7.3892784
2,2.0,2.0,-3.8827376,-0.7003998,9.5034685,-2.987027
3,0.0,0.0,3.5958767,0.22393253,-2.2860658,-5.778311
4,2.0,2.0,-3.8911285,-0.58897763,8.381574,-2.029875
5,2.0,2.0,-4.110541,-0.8198466,9.558865,-2.6938245
6,0.0,0.0,5.6501303,-0.5856987,-3.1275973,-8.632196
7,0.0,0.0,3.099917,1.0819434,-2.686438,-5.574643
8,2.0,2.0,-4.289449,-1.1633095,10.543906,-3.2269495
9,2.0,2.0,-4.4717298,-0.7983022,10.652322,-3.2170758
10,0.0,0.0,5.3421235,-0.6444196,-2.926636,-8.121612
11,1.0,1.0,-2.366105,6.427215,-2.354532,-4.069647
12,1.0,1.0,-2.1500034,6.9488907,-2.984818,-4.6855536
13,0.0,0.0,5.031385,-0.39193568,-2.8576014,-7.7390203
14,1.0,1.0,-1.8606675,5.6997437,-2.139706,-3.868343
15,1.0,1.0,-2.382128,7.4225893,-3.274449,-4.894129
16,0.0,0.0,7.550587,-1.3841282,-3.9485915,-11.397558
17,2.0,2.0,-3.352499,-1.0610533,7.3457766,-1.5999386
18,2.0,2.0,-4.077804,-0.8943418,8.590514,-1.8205917
19,2.0,2.0,-3.7324238,-0.8070382,8.831651,-2.55251
20,1.0,1.0,-2.648504,6.610599,-2.078647,-3.9720602
21,2.0,2.0,-3.8550239,-0.93104297,9.684537,-3.0858939
22,1.0,1.0,-1.6701643,5.5493894,-2.276592,-3.8839462
23,2.0,2.0,-4.2453265,-0.89840037,10.523052,-3.3763342
24,1.0,1.0,-2.2323928,7.078246,-3.1196258,-4.7347097
25,3.0,3.0,-7.4574513,-2.462123,0.11678895,8.426188
26,0.0,0.0,6.959805,-1.1298797,-3.7048833,-10.540529
27,2.0,2.0,-4.3735576,-0.5526163,9.366662,-2.2749276
28,2.0,2.0,-4.395264,-0.9549561,9.920782,-2.5543587
29,2.0,2.0,-3.29066,1.734549,5.7916336,-2.1370761
30,2.0,2.0,-3.5491486,-0.50994617,7.9266605,-2.0574965
31,0.0,0.0,3.1507,-0.033978365,-1.7900853,-4.8867073
32,1.0,1.0,-2.3333635,6.8640304,-2.8577714,-4.471593
33,3.0,3.0,-6.2225375,-1.9185866,0.23100713,6.9657316
34,2.0,2.0,-4.5124226,-0.69563234,10.207175,-2.7869833
35,2.0,2.0,-4.552296,-0.80561924,10.171869,-2.6792734
36,2.0,2.0,-4.0480742,-0.7672965,9.2180605,-2.5028286
37,3.0,3.0,-9.482266,-3.204814,-0.0019030832,10.747955
38,3.0,3.0,-8.650707,-2.891888,0.07137266,9.770975
39,3.0,3.0,-3.9587317,-1.3815911,2.7892811,2.979872
40,2.0,2.0,-4.432183,-0.7520777,10.445706,-3.1106946
41,1.0,1.0,-2.6743917,6.782427,-2.48659,-4.0262804
42,3.0,3.0,-8.528955,-2.8660543,0.06632975,9.636268
43,1.0,0.0,1.9702816,2.7223494,-3.3651087,-5.372674
44,2.0,2.0,-3.000914,-0.7302484,7.4298477,-2.257122
45,0.0,0.0,6.44146,-0.9720414,-3.465813,-9.754066
46,3.0,3.0,-7.567414,-2.5447342,0.02718893,8.577461
47,0.0,0.0,6.630605,-0.96756035,-3.5790021,-10.074844
48,1.0,1.0,-2.1164105,6.644785,-2.851633,-4.464596
49,2.0,2.0,-3.0022316,-0.65060836,6.896032,-1.8246
50,3.0,3.0,-7.698018,-2.5473952,0.13079265,8.701612
51,2.0,2.0,-3.5637703,0.699753,7.845699,-2.2687285
52,1.0,1.0,-1.5743775,5.688728,-2.4464715,-4.090418
