,Pred,Real
0,-47.49552,-57.4
1,13.265212,6.6
2,-60.74122,-65.8
3,-9.477811,-6.0
4,64.22929,72.3
5,-67.355156,-76.5
6,60.548317,63.8
7,-21.981958,-20.1
8,-17.296803,-18.7
9,-62.1354,-65.8
10,68.1055,83.3
11,-13.994209,-20.5
12,61.308075,64.4
13,-40.421783,-42.4
14,-36.263397,-37.7
15,-54.64803,-54.8
16,-34.3358,-32.9
17,-52.569893,-58.1
18,22.59591,16.2
19,69.25789,69.9
20,-48.002872,-53.4
21,-36.294212,-43.7
22,0.38215402,-2.2
23,13.877701,11.2
24,-59.268356,-62.3
25,-16.541948,-18.6
26,73.6382,72.7
27,5.0544147,6.1
28,-24.232603,-26.6
29,55.45864,51.0
30,-18.2365,-16.8
31,-59.292557,-72.3
32,19.502834,-87.7
33,16.503878,10.3
34,62.156864,67.5
35,20.81605,24.0
36,81.13511,88.0
37,51.338474,52.6
38,-68.66961,-68.5
39,-40.139202,-38.4
40,-70.15412,-76.8
41,24.74311,26.1
42,80.70719,-89.4
43,16.12568,14.2
44,-0.48514885,-1.5
45,76.36058,85.4
46,-15.03745,-16.7
47,-37.68589,-40.3
48,-48.958397,-85.3
49,2.0277977,0.4
50,-29.090143,-83.9
51,57.36859,57.8
52,30.923365,32.5
53,44.008152,45.9
54,44.588905,42.4
55,61.655994,67.7
56,-41.71536,-40.6
57,72.7877,70.9
58,-53.623585,-48.6
59,68.901596,80.7
60,-75.8478,-86.4
61,0.008159213,1.1
62,69.81013,85.7
63,58.575394,49.7
64,22.651861,27.0
65,41.610275,39.6
66,13.002205,13.5
67,11.172023,5.4
68,77.75848,86.6
69,60.229706,65.6
70,29.430391,32.1
71,-6.9561057,-9.4
72,-26.901241,-35.2
73,53.725544,48.2
74,57.023537,76.4
75,46.251755,52.6
76,23.400818,24.5
77,0.7262871,1.7
78,-23.842382,-25.7
79,-19.277252,-16.5
80,65.14403,69.8
81,46.6468,40.7
82,-62.071194,-61.0
83,-71.18589,-72.2
84,67.00648,66.1
85,-39.859886,-40.3
86,45.771564,41.9
87,4.6731734,4.7
88,-25.03678,-25.9
89,-55.450844,-61.0
90,-62.201054,-58.9
91,71.20648,75.5
92,60.781612,67.3
93,44.78074,39.3
94,-63.631214,-70.2
95,-61.986427,-68.1
96,-51.622013,-51.4
97,10.303396,7.6
98,-17.87301,-18.9
99,1.5068043,3.0
100,43.25942,37.6
101,-27.01858,-29.7
102,65.24878,69.7
103,41.80855,37.7
104,10.459247,13.1
105,73.64629,72.3
106,-6.2956796,-2.9
107,26.461506,25.9
108,-15.7612095,-11.8
109,-70.58766,-78.9
110,-8.211773,-8.6
111,32.20147,41.0
112,58.83843,66.9
113,-59.726124,-68.7
114,72.745605,85.2
115,2.4257572,3.0
116,52.925026,50.6
117,-39.563507,-36.8
118,43.98783,54.2
119,-72.0694,-78.2
120,-31.650543,-33.6
121,42.239025,34.6
122,0.0021331236,-0.9
123,-49.948055,-57.7
124,-4.9182167,-5.4
125,47.11321,45.0
126,-36.24765,-36.2
127,63.541965,62.4
128,-47.741013,-49.9
129,58.958733,58.4
130,-45.23127,-43.5
131,-51.476414,-57.0
132,-25.30491,-30.0
133,-70.844864,-79.3
134,25.148546,22.8
135,-68.76447,-66.7
136,1.9401006,0.4
137,49.981144,51.3
138,-52.920628,-58.3
139,-65.34753,-70.7
140,61.29961,67.8
141,38.546,42.8
142,23.57442,29.2
143,27.365324,33.2
144,-75.46055,-80.7
145,-27.889954,-31.0
146,-64.63239,-61.0
147,-71.231316,-77.9
148,51.67171,-85.8
149,-74.12141,-89.0
150,65.343605,61.3
151,-73.72829,-81.6
152,23.040327,21.6
153,-69.77588,-68.9
154,74.812195,86.5
155,13.110111,12.3
156,1.5945685,-8.07e-13
157,74.60114,85.9
158,-27.383347,-57.1
159,9.772758,12.8
160,-45.862835,-41.7
161,56.454094,55.0
162,-18.828154,-16.0
163,62.67301,67.0
164,62.464394,71.8
165,-47.434704,-39.0
166,36.12911,39.8
167,-61.328617,-89.1
168,-0.2709423,-1.1
169,67.936195,66.8
170,68.036674,69.7
171,-18.949892,-19.9
172,28.147207,29.6
173,-30.431456,-35.7
174,-47.077152,-50.3
175,-39.890446,-44.0
176,-23.915722,-18.2
177,-3.5921986,5.4
178,-62.83266,-66.2
179,-31.634806,-31.4
180,80.71784,84.4
181,-8.993263,-11.0
182,-55.480915,-49.2
183,0.5502181,-0.6
184,-43.224224,-45.1
185,-48.974728,-50.6
186,-52.856117,-62.2
187,-24.930103,-25.1
188,-29.529936,-30.9
189,82.49434,88.2
190,2.906355,-3.0
191,6.120981,16.6
192,-38.99208,-41.9
193,-62.466984,78.5
