Pred_inc,Pred_PA,Real_inc,Real_PA
0.01985889,76.41161,-57.4,111.50654
-0.010642424,27.503956,6.6,245.52612
-35.083397,-1.1073802,-65.8,24.002613
-0.006366633,-2.4231799,-6.0,247.1561
-13.77793,50.074726,72.3,127.146996
0.040481694,67.1308,-76.5,125.11673
-1.4856077,-3.5115051,63.8,255.99611
0.013282627,-1.5783055,-20.1,313.72794
-0.0127953775,-3.2532465,-18.7,247.08458
0.018402949,-1.389062,-65.8,22.725441
-1.1620462,70.06006,83.3,121.79583
-0.005884137,75.4118,-20.5,157.0052
-2.9147608,-1.6030277,64.4,188.08206
-0.03388719,-2.2335064,-42.4,227.81812
-0.509875,8.271919,-37.7,20.321165
-0.027794186,81.71474,-54.8,103.45538
-0.0020733178,47.345444,-32.9,35.89297
0.0072255954,-3.960503,-58.1,281.25208
-0.0070973113,-2.2354405,16.2,224.75317
0.0034572482,-0.5762623,69.9,5.662112
-6.5312567,-2.8366838,-53.4,291.2727
-0.008216672,-0.36671713,-43.7,184.87071
-0.005356908,67.9975,-2.2,156.54434
0.0007591918,7.3696322,11.2,214.6972
-1.6299001,78.01266,-62.3,141.9319
-0.007976696,4.987882,-18.6,185.78917
-12.385236,-3.723319,72.7,241.41473
-0.015500106,-2.3439958,6.1,272.55835
-0.0054554567,88.67394,-26.6,105.921326
0.038481757,7.136668,51.0,19.172771
-0.0075338334,-2.3215604,-16.8,345.64023
-0.15673551,76.81081,-72.3,89.53197
-1.3825434,-1.7919525,-87.7,99.54455
-0.016383428,50.552235,10.3,271.22977
0.118116714,68.658745,67.5,68.49562
0.008544676,-4.7495446,24.0,327.1867
0.1558649,-1.2318882,88.0,55.992386
0.012269281,75.5424,52.6,106.74691
0.087958835,-1.458955,-68.5,236.98152
-0.0040637255,-0.7667458,-38.4,189.5725
0.060831964,-1.2577381,-76.8,215.97691
-0.0145588815,-5.128488,26.1,241.29083
0.087548055,-2.6722155,-89.4,41.912525
-0.013913583,-1.3975513,14.2,282.43158
-0.00977407,-4.155836,-1.5,231.55614
-0.7142399,-2.676239,85.4,186.87862
-0.014198363,-1.1906667,-16.7,252.3417
-0.06824671,-3.012198,-40.3,317.98798
-0.83634925,-2.4216256,-85.3,191.4104
-0.013142608,-3.3319404,0.4,266.0344
0.068366535,5.480301,-83.9,109.53337
0.031566203,43.60025,57.8,28.004559
-0.021583375,-3.927329,32.5,322.52167
7.864833e-05,79.60234,45.9,141.5649
0.011856727,61.847073,42.4,40.11559
