Pred_inc,Pred_PA,Real_inc,Real_PA
-47.951534,89.66884,-57.4,111.50654
7.3710527,-121.26622,6.6,245.52612
-58.471268,22.295254,-65.8,24.002613
-1.2680324,-114.26148,-6.0,247.1561
78.647354,-225.70102,72.3,127.146996
73.13893,114.09572,-76.5,125.11673
53.832573,-86.81908,63.8,255.99611
-17.889687,-40.214905,-20.1,313.72794
-10.314967,-111.63316,-18.7,247.08458
-63.01123,2.0192232,-65.8,22.725441
80.25338,-245.88875,83.3,121.79583
-18.224293,-190.83861,-20.5,157.0052
61.705414,-152.83423,64.4,188.08206
30.0005,-137.28157,-42.4,227.81812
-28.695183,21.05452,-37.7,20.321165
-52.350124,96.85637,-54.8,103.45538
-29.094131,32.332,-32.9,35.89297
-36.859196,-80.91311,-58.1,281.25208
17.423817,-142.73012,16.2,224.75317
62.342205,21.950718,69.9,5.662112
-53.20706,-61.720844,-53.4,291.2727
-33.427326,-180.77141,-43.7,184.87071
-0.38710743,-199.9259,-2.2,156.54434
9.960448,-144.39513,11.2,214.6972
-54.00877,-218.82861,-62.3,141.9319
-9.177352,-161.65913,-18.6,185.78917
66.55434,-111.50012,72.7,241.41473
8.446965,-92.80459,6.1,272.55835
-25.557194,92.52583,-26.6,105.921326
56.582237,13.176111,51.0,19.172771
-15.529686,-12.134546,-16.8,345.64023
-62.537567,78.10267,-72.3,89.53197
-86.06476,71.72153,-87.7,99.54455
15.871993,-60.91713,10.3,271.22977
66.59123,71.93796,67.5,68.49562
24.835083,-29.459284,24.0,327.1867
82.76185,52.551186,88.0,55.992386
56.40428,108.78776,52.6,106.74691
-72.853935,-117.133835,-68.5,236.98152
-41.575066,-174.47928,-38.4,189.5725
-80.75338,-134.6024,-76.8,215.97691
27.38395,-108.17388,26.1,241.29083
78.06647,5.0938864,-89.4,41.912525
11.742827,-68.196686,14.2,282.43158
-1.4833405,-125.821434,-1.5,231.55614
75.756256,-165.36813,85.4,186.87862
-7.5594254,-99.859604,-16.7,252.3417
-36.97924,-23.414177,-40.3,317.98798
77.62297,-156.40605,-85.3,191.4104
