Pred_inc,Pred_PA,Real_inc,Real_PA
-70.937,97.968895,-77.2,113.03572
54.007454,48.891796,59.4,38.57639
-42.175007,-87.11764,-41.3,267.44788
65.782326,-47.289192,70.9,306.36465
28.879766,71.95601,30.3,71.09694
-58.074814,-87.07826,-60.4,260.14944
-63.678238,97.146515,-68.9,115.04569
-22.744825,-45.820766,-24.4,308.60373
80.45968,-124.4898,-87.0,167.12956
-68.92577,6.3615274,-70.3,16.12051
73.17414,-155.22054,70.6,194.88106
20.549938,1.8404665,19.9,356.10263
-6.152174,56.61525,-7.9,63.951088
24.407173,-2.0282097,29.5,357.58548
-75.57971,18.39072,-87.3,26.705746
-57.94278,11.084363,-59.5,29.588972
72.15893,13.211066,78.8,0.44923297
63.64743,-61.92262,64.5,278.30823
-1.8945993,-94.43967,-3.5,253.51799
22.695778,56.42763,24.2,62.241924
9.506399,109.93486,9.1,115.41431
1.3290279,-134.47699,2.4,221.02733
-53.286015,63.22499,-48.8,82.17957
72.15617,-135.77203,-88.6,306.61105
44.853035,153.4655,52.7,145.08879
59.868378,-175.02048,58.6,166.99525
-57.752266,153.64537,-55.2,165.1719
52.430733,-165.9916,50.7,174.96722
-63.64497,-83.17586,82.5,242.6692
63.196537,145.33781,67.4,127.330414
64.60173,64.72436,70.3,69.54238
-30.719244,-35.886494,-29.7,320.32602
69.951935,-106.14046,75.9,211.65132
55.67183,-117.77044,49.4,232.98965
-54.90253,20.596195,-55.6,29.997967
66.17807,-148.88034,77.2,161.35353
45.458607,-94.47268,47.2,244.27614
68.72386,24.668667,-88.9,55.605747
57.413754,145.43163,55.6,135.09363
16.69237,-128.406,16.9,218.9585
-16.45898,13.081454,-19.1,14.973204
-16.834974,-113.04201,-23.6,239.39519
45.05255,-124.48201,45.3,221.71953
64.33807,94.95796,67.6,81.83941
32.75901,-85.236916,29.9,262.48688
-61.89661,-34.35166,-61.0,355.16373
66.69756,-88.506294,78.8,291.57785
-73.58538,61.6019,-85.4,13.810164
27.437761,7.6414313,26.7,359.4059
70.7669,46.97437,73.1,65.483604
80.94754,-104.04428,87.4,19.264582
-60.031696,119.66832,-67.5,137.27054
-84.893974,28.243769,-88.2,110.737564
81.12594,-148.71297,85.7,238.60483
-42.215477,-129.7701,-47.3,220.20537
84.79059,66.70953,78.5,76.14624
81.78805,-29.874155,78.5,346.29364
33.148594,-23.586504,33.8,334.6952
-26.918947,83.31401,-28.2,92.76523
50.18691,65.57056,44.4,67.9509
-80.166954,-43.52357,-86.4,4.418806
55.217632,-116.51713,57.2,230.46329
-63.866814,-94.0894,-62.7,274.02216
25.048304,-128.40346,23.3,215.33224
72.49238,-74.21876,82.3,291.02472
-28.364798,123.39999,-30.5,128.80722
79.162445,64.66326,-85.7,135.05978
58.350258,80.23515,61.5,85.28305
-36.054695,112.670074,-48.1,126.35257
66.30088,159.07103,70.3,177.56831
-68.99307,-50.51232,-74.4,333.70578
68.34352,157.59142,69.3,153.39632
75.19926,-45.02744,76.1,305.40656
67.72307,10.835547,76.1,17.937008
-77.9384,-128.20747,78.6,203.98694
-74.00195,38.750687,-77.1,70.662346
-5.861758,-118.473724,-8.9,244.27362
13.999969,136.7747,13.4,150.23134
21.476297,36.202084,27.6,34.15058
17.524193,64.81253,17.2,67.4971
16.900953,-122.59475,13.4,223.67111
34.667137,-12.177021,39.2,335.34216
-28.230608,-132.33443,-26.7,216.05832
10.227715,133.47058,12.3,148.5324
59.575466,-4.2317653,56.6,355.71844
51.298218,-93.05704,52.0,249.81314
-8.941277,-146.22838,-12.0,208.38148
13.707342,-149.15794,14.9,205.87582
-2.9805489,39.316517,-2.8,41.042484
70.93104,-4.527588,87.5,209.11258
-28.307003,-102.134125,-32.5,252.25475
4.525452,-145.19199,5.7,214.27853
-17.013197,113.71872,-19.3,118.617874
41.22442,-167.91673,42.3,176.48349
-23.37958,36.452923,31.2,34.476856
68.59615,70.43757,72.3,36.99781
-45.150513,152.20169,-49.0,158.77591
74.193535,1.6184378,73.7,352.3885
80.8873,-14.47091,79.0,329.57596
-33.53319,-10.53076,-44.4,358.68082
48.796127,-58.405884,44.3,283.58603
-63.386948,-72.957825,-61.5,281.1766
-63.003105,126.01258,-74.2,125.818535
-4.430783,-40.2514,28.9,308.68036
73.343346,-50.36806,79.1,308.62888
-33.557068,43.36835,-35.8,52.890907
4.2490396,-133.404,2.9,215.71173
9.16142,-111.57239,9.7,247.72835
-47.676704,-90.90963,-54.2,270.18683
2.8092737,-5.4318185,3.1,349.2568
-34.509377,-14.123088,-33.1,353.34634
25.30926,56.26726,30.5,51.706635
-59.149845,-60.16339,-61.9,295.3218
-65.16595,65.81236,-62.9,71.92398
-74.88206,-140.09332,-80.3,192.7701
38.740204,116.44825,-44.8,135.96678
39.963234,38.62032,42.4,35.891697
12.060622,-85.34417,9.4,264.32843
21.507074,-60.438274,22.8,289.98108
52.562653,-5.1538877,49.7,344.53476
7.400825,19.043282,7.0,24.255838
52.8594,-52.710556,48.9,295.36658
-50.57908,-102.007996,-51.4,266.04208
-16.62164,39.001804,24.7,28.68292
53.256763,81.418304,60.1,80.913445
-24.773554,138.997,-24.4,160.14502
53.599625,51.843327,47.0,47.975758
-6.4831333,-1.5592102,-8.7,353.9763
7.8562584,24.25386,11.1,20.380749
-27.183304,-182.00887,-27.0,177.1329
66.04379,-112.040375,69.8,235.40579
23.92772,48.237392,24.5,51.716595
56.538235,167.95181,46.3,158.64297
-83.57733,98.51429,-83.3,97.18426
74.64548,-16.054184,75.1,348.154
-13.182117,-108.665215,-12.6,257.29004
86.24444,2.2535028,84.8,20.707985
25.981133,-121.44931,27.0,221.45464
58.755894,-88.420425,57.8,248.86232
-50.056118,-6.3595634,-50.4,8.235363
42.197636,-130.82582,43.0,208.80113
-74.42193,-18.83641,-87.2,162.80281
-42.79152,-129.67603,-48.2,222.18343
0.21635903,13.336432,0.8,18.572796
10.207086,-79.145355,11.3,295.8119
-68.59795,-5.3592405,-69.9,354.63058
6.5027184,110.10164,11.2,120.731514
-21.078861,-85.3808,-21.9,285.77216
-19.374239,111.746574,-23.1,123.6308
-70.37643,136.86722,-70.7,135.11688
-17.773243,-32.35719,-17.6,322.4096
4.487533,8.424779,5.6,14.295843
9.620641,-132.99762,12.6,218.0287
33.278564,69.773315,32.7,62.39786
60.521248,-33.38187,52.5,317.35324
-54.932945,-21.641708,-51.6,357.2189
63.397015,39.702007,51.8,32.488968
35.8416,-113.59386,33.2,226.55136
-71.105515,-79.90732,-78.8,306.2653
0.9376536,-89.15385,0.6,258.3115
-16.379839,-18.571789,-15.9,335.42578
61.951714,-92.757706,62.1,244.20084
-40.633873,99.004456,-43.8,107.51918
-3.725999,41.542213,-6.9,43.904453
-73.89171,52.327835,-74.0,83.59381
58.17185,-142.79779,54.3,208.02039
68.98323,87.81787,-75.3,103.82549
65.34529,-51.865894,68.6,308.5344
56.218132,-181.7649,54.5,157.06891
-21.860184,-35.410618,-23.6,326.92365
