date,Model_name,MAE,Batch_size,Resolution,Dropout,lr,No. training,No. testing,In size,angular_pixel_size_input_image,Training Epoch,Engine,Loss Function,More,para,MAE inc,MAE PA
2024-01-06_12-06-06,EfficientNet-B0,1.74398613,64,224,0.5,0.00005,1437,360,224,,,Tensorflow,mae,,,,
2024-01-06_12-25-00,EfficientNet-B0,2.401100397,128,224,0.5,0.00005,1437,360,224,,,Tensorflow,mae,,,,
2024-01-06_12-36-42,EfficientNet-B0,1.288298965,128,224,0.4,0.00002,1437,360,224,,,Tensorflow,mae,,,,
2024-01-06_13-05-25,EfficientNet-B0,1.010098457,128,224,0.3,0.00002,1437,360,224,,,Tensorflow,mae,,,,
2024-01-06_13-39-45,EfficientNet-B0,0.942166924,128,224,0.2,0.00002,1437,360,224,,,Tensorflow,mae,,,,
2024-01-06_14-02-04,EfficientNet-B0,0.86702913,128,224,0.2,0.00001,1437,360,224,,,Tensorflow,mae,,,,
2024-01-06_14-23-35,EfficientNet-B0,1.042884827,256,128,0.2,0.00001,1437,360,128,,,Tensorflow,mae,,,,
2024-01-11_15-16-33,EfficientNet-B1,6.107722013,128,295,0.2,0.00005,7204,1802,32,,44,PyTorch,mae,,,,
2024-01-12_01-11-49,EfficientNet-B1,20.72153464,128,295,0.5,0.00005,7204,1802,16,,53,PyTorch,mae,,,,
2024-01-12_02-55-35,EfficientNet-B1,19.09651701,128,295,0.5,0.0001,7204,1802,16,,119,PyTorch,mse,,,,
2024-01-12_04-16-16,EfficientNet-B1,15.04377866,128,295,0.5,0.0003,7204,1802,12,,50,PyTorch,mse,,,,
2024-01-12_06-09-35,EfficientNet-B1,11.07945698,128,295,0.5,0.0005,7204,1802,12,,50,PyTorch,mse,,,,
2024-01-12_06-54-32,EfficientNet-B1,10.15659903,128,295,0.5,0.001,7204,1802,12,,31,PyTorch,mse,,,,
2024-01-14_13-27-08,EfficientNet-B1,11.76166388,128,300,0.5,0.001,7204,1802,8,,50,PyTorch,mse,,,,
2024-01-27_12-50-57,EfficientNet-B1,15.4796843,128,240,0.5,0.0005,7204,1802,,0.0007,50,PyTorch,mse,,,,
2024-01-27_13-33-44,EfficientNet-B1,14.51368635,128,240,0.5,0.001,7204,1802,,0.0007,50,PyTorch,mse,,,,
2024-01-27_14-38-53,EfficientNet-B1,14.78262071,128,240,0.5,0.001,7204,1802,,0.0006,50,PyTorch,mse,,,,
2024-01-27_15-17-19,EfficientNet-B1,16.6621698,128,240,0.5,0.001,7204,1802,,0.0005,50,PyTorch,mse,,,,
2024-01-27_16-01-07,EfficientNet-B1,20.05767257,128,240,0.5,0.001,7204,1802,,0.0004,50,PyTorch,mse,,,,
2024-01-30_10-04-02,EfficientNet-B1,25.6346882,256,240,0.5,0.003,7204,1802,,0.0004,100,PyTorch,mse,,Inclination,,
2024-01-30_10-44-54,EfficientNet-B1,21.68429819,256,240,0.5,0.001,7204,1802,,0.0004,100,PyTorch,mse,,Inclination,,
2024-01-30_11-29-35,EfficientNet-B1,24.04378272,256,240,0.5,0.001,7204,1802,,0.0004,100,PyTorch,mse,,Inclination,,
2024-01-30_21-48-59,EfficientNet-B1,19.94862216,256,240,0.5,0.001,7204,1802,,0.0006,10,PyTorch,mse,,Inclination,,
2024-01-30_21-52-35,EfficientNet-B1,17.15621098,256,240,0.5,0.001,7204,1802,,0.0007,10,PyTorch,mse,,Inclination,,
2024-01-30_22-02-14,EfficientNet-B1,18.98337222,256,240,0.5,0.001,7204,1802,,0.0006,10,PyTorch,mse,,Inclination,,
