,Pred,Real
0,65.55321,72.0
1,65.76649,68.0
2,65.512245,65.0
3,63.33592,67.0
4,65.11391,70.0
5,66.18741,67.0
6,65.96333,64.0
7,62.581097,68.0
8,66.61638,74.0
9,65.66396,64.0
10,65.50348,65.0
11,65.98457,67.0
12,65.05087,70.0
13,64.60441,74.0
14,66.2426,65.0
15,65.34604,72.0
16,65.30849,66.0
17,65.66828,72.0
18,65.605,73.0
19,65.035965,71.0
20,65.25409,73.0
21,65.816666,69.0
22,66.401115,67.0
23,65.866516,67.0
24,64.900505,71.0
25,66.72081,73.0
26,66.61917,66.0
27,64.2256,67.0
28,66.01916,70.0
29,65.79613,69.0
30,65.93863,68.0
31,65.35757,71.0
32,65.84759,72.0
33,65.84748,71.0
34,65.298645,64.0
35,65.54543,74.0
36,65.61927,65.0
37,65.37801,74.0
38,65.81106,64.0
39,66.057,67.0
40,65.398964,64.0
41,66.56779,70.0
42,65.72578,66.0
43,65.15239,73.0
44,65.81343,64.0
45,65.88103,69.0
46,65.472336,72.0
47,64.81643,66.0
48,65.14119,72.0
49,65.87578,65.0
50,65.400856,70.0
51,65.46106,65.0
52,65.693634,71.0
53,65.47184,66.0
54,65.58242,70.0
55,65.5675,67.0
56,66.12701,74.0
57,65.11954,67.0
58,65.32107,70.0
59,65.131096,70.0
60,65.94907,66.0
61,65.85155,68.0
62,65.97206,67.0
63,65.34967,67.0
64,65.26341,70.0
65,66.10536,70.0
66,66.282486,69.0
67,64.9546,66.0
68,65.430595,71.0
69,65.30752,66.0
70,65.9994,69.0
71,65.30112,68.0
72,66.18282,66.0
73,65.9414,73.0
74,62.8955,72.0
75,66.2034,65.0
76,65.93423,68.0
77,63.775105,72.0
78,66.02417,70.0
79,66.27143,68.0
80,65.53445,67.0
81,64.657326,71.0
82,65.58093,74.0
83,65.24787,71.0
84,65.31022,74.0
85,64.84854,65.0
86,64.16743,64.0
87,65.591484,71.0
88,65.42141,69.0
89,65.44293,73.0
90,65.3566,68.0
91,64.9406,69.0
92,62.642746,65.0
93,64.43707,70.0
94,64.93492,69.0
95,65.68015,67.0
96,65.44194,68.0
97,66.013954,68.0
98,65.316284,64.0
99,65.96846,67.0
100,65.458855,67.0
101,63.961433,67.0
102,65.566956,73.0
103,65.035614,66.0
104,65.27301,65.0
105,65.84267,68.0
106,65.533424,69.0
107,65.40685,65.0
108,65.69137,73.0
109,65.51008,69.0
110,65.55305,73.0
111,66.00661,69.0
112,65.6732,70.0
113,65.63358,69.0
114,65.49547,68.0
115,65.71393,73.0
116,65.74719,71.0
117,63.04416,66.0
118,67.32496,66.0
119,65.82015,69.0
120,65.88293,64.0
121,66.103424,73.0
122,64.839455,69.0
123,65.16486,64.0
124,63.261703,71.0
125,66.10361,71.0
126,66.24713,67.0
127,65.62767,71.0
128,65.07548,65.0
129,63.033466,69.0
130,64.84626,70.0
131,65.68151,65.0
132,65.47844,71.0
133,62.904625,64.0
134,65.12918,69.0
135,65.90315,69.0
136,64.821205,66.0
137,65.97569,71.0
138,64.73496,73.0
139,65.52592,66.0
140,65.78231,64.0
141,65.08644,67.0
142,65.10339,68.0
143,64.07969,66.0
144,65.6435,66.0
145,65.69641,74.0
146,66.308716,69.0
147,65.15213,74.0
148,65.64615,69.0
149,65.58004,73.0
150,62.01403,71.0
151,65.50862,70.0
152,64.83154,74.0
153,63.941708,66.0
154,65.55603,74.0
155,66.12162,67.0
156,66.16252,71.0
157,64.534,68.0
158,65.92371,72.0
159,65.741135,68.0
160,62.354828,64.0
161,64.93939,73.0
162,66.432976,67.0
163,65.31678,73.0
164,65.59677,72.0
165,65.43064,71.0
166,66.25365,67.0
167,63.68904,67.0
168,65.24486,69.0
169,65.14032,69.0
170,64.718765,64.0
171,64.62326,69.0
172,66.04217,72.0
173,66.37137,66.0
174,63.3518,74.0
175,63.127117,66.0
176,66.531364,65.0
177,67.00628,64.0
178,63.807327,65.0
179,65.04944,70.0
180,65.68184,69.0
181,65.818565,72.0
182,65.24046,66.0
183,66.43634,70.0
184,64.78435,70.0
185,66.32422,72.0
186,62.227608,68.0
187,63.40144,68.0
188,65.27356,65.0
189,61.063305,67.0
190,65.65851,64.0
191,66.22386,66.0
192,65.17949,73.0
193,65.00199,66.0
194,66.346954,68.0
195,65.252884,68.0
196,65.698364,64.0
197,64.98752,72.0
198,66.1546,64.0
199,65.15385,69.0
200,66.68126,71.0
201,65.544266,66.0
202,65.69445,66.0
203,65.23102,73.0
204,65.990074,65.0
205,66.653145,74.0
206,66.711845,64.0
207,64.86048,68.0
208,65.946266,74.0
209,65.30648,66.0
210,65.174614,67.0
211,66.06958,64.0
212,62.705593,70.0
213,65.83725,67.0
214,65.57217,68.0
215,67.198364,73.0
216,65.663704,68.0
217,66.0321,72.0
218,65.31177,67.0
219,63.811146,73.0
220,65.117775,69.0
221,65.62284,67.0
222,65.97474,66.0
223,65.91458,72.0
224,64.91081,73.0
225,65.05851,72.0
226,61.89874,71.0
227,66.8044,74.0
228,65.37493,71.0
229,63.719585,73.0
230,66.48134,73.0
231,62.17368,71.0
232,65.78029,72.0
233,66.05067,66.0
234,65.72532,65.0
235,64.76197,69.0
236,65.768326,68.0
237,66.667786,73.0
238,65.594765,67.0
239,66.51031,64.0
240,66.39095,69.0
241,64.97157,67.0
242,65.14456,74.0
243,64.66081,74.0
244,65.90149,72.0
245,66.07687,64.0
246,65.760155,70.0
247,66.3926,72.0
248,64.84316,74.0
249,65.24679,69.0
250,65.36435,66.0
251,65.90042,71.0
252,67.38629,67.0
253,65.748245,66.0
254,64.72548,72.0
255,66.18419,67.0
256,65.701004,72.0
257,65.87108,67.0
258,64.97605,73.0
259,65.25962,70.0
260,65.7593,72.0
261,65.204346,64.0
262,65.82921,68.0
263,65.086975,67.0
264,66.155075,66.0
265,65.99181,65.0
266,66.05958,65.0
267,65.126274,72.0
268,65.795654,66.0
269,65.67363,73.0
270,65.37004,72.0
271,66.737076,67.0
272,65.68091,71.0
273,66.125824,68.0
274,65.7763,68.0
275,66.03505,66.0
276,65.71894,67.0
277,63.594406,70.0
278,63.83304,68.0
279,65.81591,65.0
280,65.65201,68.0
281,64.471725,65.0
282,65.80802,67.0
283,65.707245,68.0
284,65.196175,69.0
285,65.19138,72.0
286,65.9573,72.0
287,65.19904,74.0
288,64.63664,71.0
289,63.950596,72.0
290,66.15549,69.0
291,66.28134,64.0
292,65.92701,68.0
293,65.43775,64.0
294,65.86469,73.0
295,64.935165,67.0
296,65.70082,64.0
297,65.17228,71.0
298,65.27249,74.0
299,63.522774,66.0
300,64.14422,68.0
301,66.408554,65.0
302,66.34314,66.0
303,66.0399,73.0
304,65.835724,70.0
305,66.37369,67.0
306,65.58911,71.0
307,65.748344,72.0
308,66.32701,69.0
309,65.06289,67.0
310,66.10972,65.0
311,65.48883,64.0
312,65.83381,69.0
313,65.48637,72.0
314,65.51342,72.0
315,65.35647,73.0
316,67.21755,69.0
317,65.37129,72.0
318,67.119644,68.0
319,65.46884,74.0
320,65.566124,69.0
321,65.18021,68.0
322,65.273315,66.0
323,65.75424,71.0
324,65.48546,67.0
325,65.95022,69.0
326,65.373634,64.0
327,65.080185,69.0
328,66.13922,71.0
329,64.9058,73.0
330,66.113716,64.0
331,65.91968,66.0
332,64.6134,71.0
333,65.04489,65.0
334,65.122574,68.0
335,65.02014,73.0
336,65.68009,71.0
337,65.68427,64.0
338,64.977,73.0
339,65.67732,73.0
340,65.29855,68.0
341,65.51316,73.0
342,65.11328,74.0
343,65.03154,67.0
344,66.30239,69.0
345,64.29834,74.0
346,66.07698,70.0
347,66.2661,70.0
348,65.864174,70.0
349,65.05688,72.0
350,65.75655,74.0
351,65.429405,72.0
352,66.998505,64.0
