,Pred,Real
0,71.83029,72.0
1,68.735435,69.0
2,69.338,69.0
3,73.56705,74.0
4,69.93192,69.0
5,69.67733,69.0
6,67.54037,68.0
7,65.06754,64.0
8,67.1124,67.0
9,73.73203,74.0
10,69.87744,70.0
11,63.895805,65.0
12,66.954094,67.0
13,70.25737,70.0
14,71.5918,71.0
15,67.78936,68.0
16,72.06499,72.0
17,71.46348,72.0
18,64.62808,65.0
19,70.12652,70.0
20,65.14346,65.0
21,65.97946,66.0
22,66.981316,67.0
23,66.0421,66.0
24,67.98547,68.0
25,68.3817,69.0
26,73.775085,73.0
27,67.83267,68.0
28,69.65945,70.0
29,73.97882,74.0
30,67.90664,68.0
31,67.285164,67.0
32,64.96988,65.0
33,71.10705,71.0
34,74.27913,74.0
35,68.83321,69.0
36,72.48997,72.0
37,65.709045,66.0
38,73.45124,73.0
39,66.471115,66.0
40,66.33292,66.0
41,71.99408,72.0
42,72.06817,71.0
43,68.93952,69.0
44,64.23452,64.0
45,70.49401,70.0
46,70.72603,71.0
47,73.10242,73.0
48,66.87521,67.0
49,65.756195,66.0
50,69.742935,70.0
51,71.56155,71.0
52,71.77804,72.0
53,67.043976,67.0
54,68.513336,69.0
55,70.644035,72.0
56,73.53615,73.0
57,68.06873,68.0
58,66.92023,67.0
59,73.72358,74.0
60,64.870735,65.0
61,73.70772,74.0
62,65.92708,66.0
63,70.80803,71.0
64,69.01405,69.0
65,73.2034,73.0
66,64.98301,65.0
67,64.37311,64.0
68,71.676575,72.0
69,63.613102,64.0
70,69.32006,70.0
71,72.780556,73.0
72,66.77891,67.0
73,68.00106,68.0
74,74.00627,74.0
75,66.31781,65.0
76,65.711136,66.0
77,65.04661,65.0
78,67.80866,68.0
79,74.60521,74.0
80,66.120926,65.0
81,71.757744,72.0
82,68.75834,68.0
83,73.54706,74.0
84,71.73038,72.0
85,74.08558,74.0
86,65.16237,65.0
87,67.66881,68.0
88,66.698555,67.0
89,69.16001,70.0
90,69.79476,70.0
91,64.6879,65.0
92,67.06925,67.0
93,72.98231,73.0
94,71.27368,71.0
95,73.77514,74.0
96,67.67988,68.0
97,66.171616,66.0
98,72.82247,73.0
99,69.790085,70.0
100,64.90117,65.0
101,65.84416,66.0
102,64.34965,64.0
103,67.28317,67.0
104,66.56994,67.0
105,71.98253,72.0
106,71.957504,72.0
107,66.533005,66.0
108,73.642944,73.0
109,63.64131,64.0
110,65.6056,65.0
111,71.143906,71.0
112,71.553635,72.0
113,67.81117,68.0
114,69.04122,69.0
115,71.19635,71.0
116,66.50175,66.0
117,70.73473,71.0
118,71.02617,71.0
119,66.92465,67.0
120,68.69038,69.0
121,66.479675,67.0
122,69.323326,69.0
123,64.883766,65.0
124,70.29007,71.0
125,66.17213,66.0
126,64.06319,64.0
127,65.62879,66.0
128,73.16546,73.0
129,73.74631,74.0
130,70.0863,70.0
131,73.61868,74.0
132,70.77664,72.0
133,72.51606,72.0
134,68.825935,69.0
135,74.04206,74.0
136,67.26622,67.0
137,67.090225,67.0
138,67.770424,67.0
139,64.89279,65.0
140,72.794136,73.0
141,65.133545,65.0
142,65.33193,64.0
143,72.72342,73.0
144,66.847015,67.0
145,71.45912,72.0
146,71.924324,74.0
147,71.32748,72.0
148,63.971657,64.0
149,69.205925,70.0
150,68.82267,69.0
151,65.349724,66.0
152,67.49631,68.0
153,72.32351,72.0
154,65.14103,66.0
155,64.91384,65.0
156,73.04569,73.0
157,74.03731,74.0
158,68.25696,69.0
159,66.89359,67.0
160,74.147316,74.0
161,63.77221,64.0
162,63.33225,64.0
163,73.25043,73.0
164,64.50339,64.0
165,65.4655,65.0
166,65.138405,66.0
167,68.71812,69.0
168,73.81938,74.0
169,73.40593,74.0
170,66.73957,67.0
171,66.09486,66.0
172,69.728806,70.0
173,71.22558,71.0
174,68.856186,69.0
175,64.11946,64.0
176,69.6456,69.0
177,66.065544,66.0
178,70.26791,70.0
179,73.46397,74.0
180,73.41232,73.0
181,69.16286,69.0
182,68.6916,68.0
183,69.79611,70.0
184,67.82839,67.0
185,68.54689,69.0
186,69.06873,69.0
187,72.183426,72.0
188,70.49686,71.0
189,65.431786,65.0
190,64.88298,64.0
191,70.80843,71.0
192,64.93646,65.0
193,65.926346,66.0
194,69.745026,70.0
195,64.97949,65.0
196,69.29551,69.0
197,70.07135,70.0
198,69.69314,70.0
199,67.48469,68.0
200,64.99942,65.0
201,63.499016,64.0
202,72.83967,73.0
203,65.063675,65.0
204,66.75222,67.0
205,72.962166,74.0
206,68.885925,69.0
207,67.560295,68.0
208,67.52716,68.0
209,66.45104,66.0
210,66.09044,66.0
211,71.79946,72.0
212,66.62735,66.0
213,64.90637,65.0
214,66.689224,67.0
215,69.72303,70.0
216,73.24768,73.0
217,68.50675,69.0
218,73.5286,74.0
219,73.34251,73.0
220,69.18347,70.0
221,65.751724,66.0
222,72.40867,73.0
223,70.70746,71.0
224,71.05371,71.0
225,67.96478,68.0
226,73.17429,74.0
227,65.54759,66.0
228,67.94481,68.0
229,64.05542,64.0
230,71.87199,72.0
231,68.65572,69.0
232,72.571014,72.0
233,72.773926,73.0
234,72.02712,73.0
235,65.786514,66.0
236,65.74379,66.0
237,74.38401,74.0
238,71.64356,71.0
239,63.787777,64.0
240,69.11799,70.0
241,66.50114,66.0
242,65.84447,66.0
243,71.6578,72.0
244,70.15806,70.0
245,73.47919,73.0
246,73.73756,74.0
247,69.63293,70.0
248,70.9342,71.0
249,71.81495,72.0
250,74.08266,74.0
251,70.531136,71.0
252,71.29201,72.0
253,70.858055,71.0
254,68.744484,69.0
255,67.71823,68.0
256,73.553024,74.0
257,66.607185,67.0
258,73.23766,73.0
259,64.263565,64.0
260,65.24679,65.0
261,71.72964,72.0
262,70.091965,70.0
263,71.70687,72.0
264,66.828384,67.0
265,64.630035,64.0
266,73.39232,73.0
267,66.06279,66.0
268,69.128426,69.0
