               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087203,             0.23114,            0.014632,           0.0022338,              0.0065,           0.0011472,          0.00021113,            0.082431,             0.24896,            0.006266,              0.0784,              0.0024,              0.0024
                   1,            0.079081,             0.28502,           0.0037218,          0.00018333,             0.00055,          9.1767e-05,          1.9599e-05,            0.077379,             0.31577,           0.0020157,            0.055876,           0.0048757,           0.0048757
                   2,            0.077345,             0.31087,           0.0020847,           0.0037833,             0.01135,           0.0019415,          0.00038034,            0.076947,             0.32693,           0.0019825,            0.033327,           0.0073267,           0.0073267
                   3,              0.0754,             0.32809,           0.0017948,            0.004125,            0.012375,           0.0021136,          0.00053818,             0.07482,             0.35031,           0.0017309,            0.010753,            0.009753,            0.009753
                   4,            0.074725,             0.33386,           0.0016961,             0.01195,             0.03585,           0.0073292,           0.0020577,            0.074012,             0.39114,           0.0016685,            0.009802,            0.009802,            0.009802
                   5,            0.074151,               0.334,           0.0016864,            0.013067,              0.0392,           0.0071483,           0.0020914,            0.074761,             0.34826,            0.001716,            0.009802,            0.009802,            0.009802
                   6,            0.073291,             0.33278,           0.0015567,            0.012542,            0.037625,           0.0069951,           0.0022399,            0.075069,             0.35829,           0.0015976,           0.0097525,           0.0097525,           0.0097525
                   7,            0.072404,              0.3359,            0.001485,            0.010342,            0.031025,           0.0055315,           0.0017228,            0.073874,             0.35664,           0.0015893,            0.009703,            0.009703,            0.009703
                   8,            0.071872,              0.3338,           0.0014699,           0.0094833,             0.02845,           0.0050609,           0.0011433,             0.07293,             0.36604,           0.0014863,           0.0096535,           0.0096535,           0.0096535
                   9,            0.071744,              0.3326,           0.0013967,              0.0067,              0.0201,           0.0036573,           0.0010191,            0.077838,             0.38435,           0.0014428,            0.009604,            0.009604,            0.009604
                  10,            0.071394,             0.33483,           0.0013812,            0.013283,             0.03985,           0.0072945,           0.0022382,            0.074025,             0.36034,           0.0014382,           0.0095545,           0.0095545,           0.0095545
                  11,            0.071228,             0.33463,           0.0012884,            0.017417,             0.05225,            0.010325,           0.0032577,            0.071423,             0.35343,           0.0014588,            0.009505,            0.009505,            0.009505
                  12,            0.071065,             0.33173,           0.0014053,            0.021067,              0.0632,            0.014716,           0.0046345,            0.069371,             0.34301,           0.0014263,           0.0094555,           0.0094555,           0.0094555
                  13,            0.070453,             0.33543,           0.0013604,            0.015625,            0.046875,           0.0093998,           0.0031213,             0.07087,             0.36958,           0.0014482,            0.009406,            0.009406,            0.009406
                  14,            0.070297,             0.33525,           0.0013582,            0.014608,            0.043825,            0.008303,            0.002683,            0.073613,             0.34844,           0.0014252,           0.0093565,           0.0093565,           0.0093565
                  15,            0.070711,             0.33491,           0.0012965,            0.017992,            0.053975,            0.010181,           0.0034756,            0.070496,             0.34591,           0.0014199,            0.009307,            0.009307,            0.009307
                  16,            0.070433,             0.33147,            0.001399,             0.02455,             0.07365,            0.016424,           0.0055092,            0.069024,             0.34327,           0.0014267,           0.0092575,           0.0092575,           0.0092575
                  17,            0.070159,             0.32955,           0.0013409,            0.026892,            0.080675,             0.01978,           0.0067461,             0.06719,             0.33922,           0.0014264,            0.009208,            0.009208,            0.009208
                  18,            0.069979,             0.33474,           0.0013581,             0.02485,             0.07455,            0.015679,           0.0050279,            0.068557,             0.33933,           0.0014168,           0.0091585,           0.0091585,           0.0091585
                  19,            0.069705,             0.33082,           0.0012831,            0.028658,            0.085975,            0.020865,           0.0070222,            0.067478,             0.34125,           0.0014154,            0.009109,            0.009109,            0.009109
                  20,             0.07004,             0.33361,           0.0013706,            0.025292,            0.075875,            0.019011,           0.0059324,            0.068107,             0.34483,           0.0014213,           0.0090595,           0.0090595,           0.0090595
                  21,            0.069564,             0.33087,            0.001271,             0.01925,             0.05775,             0.01409,           0.0046934,            0.069882,             0.35312,           0.0014302,             0.00901,             0.00901,             0.00901
                  22,            0.069427,             0.33177,           0.0013872,            0.031473,            0.089225,             0.02588,           0.0095435,            0.066275,             0.34408,           0.0014147,           0.0089605,           0.0089605,           0.0089605
                  23,            0.069728,             0.33248,           0.0013382,            0.021292,            0.063875,            0.013815,           0.0044597,            0.070066,             0.34979,           0.0014407,            0.008911,            0.008911,            0.008911
                  24,            0.069499,             0.32799,           0.0013451,            0.022942,            0.068825,            0.014043,           0.0044344,            0.068856,             0.34008,           0.0014181,           0.0088615,           0.0088615,           0.0088615
                  25,            0.068751,             0.33231,           0.0014259,            0.025892,            0.077675,            0.020122,           0.0055948,            0.067819,             0.34025,           0.0014269,            0.008812,            0.008812,            0.008812
                  26,            0.069335,             0.33374,           0.0013523,            0.014458,            0.043375,           0.0092525,           0.0029621,            0.071337,               0.361,            0.001408,           0.0087625,           0.0087625,           0.0087625
                  27,            0.069078,             0.33252,            0.001285,            0.028817,             0.08645,            0.022994,           0.0082596,            0.067549,             0.33934,           0.0014106,            0.008713,            0.008713,            0.008713
                  28,            0.069104,             0.33397,           0.0012984,            0.029975,            0.089925,            0.021517,           0.0072614,            0.066765,             0.33621,           0.0014181,           0.0086635,           0.0086635,           0.0086635
                  29,            0.068814,             0.33481,           0.0013593,            0.021167,              0.0635,            0.012951,           0.0041978,             0.06949,             0.34525,           0.0014297,            0.008614,            0.008614,            0.008614
                  30,            0.069102,             0.33059,           0.0012994,            0.027558,            0.082675,            0.021915,           0.0072611,             0.06739,             0.33608,           0.0014132,           0.0085645,           0.0085645,           0.0085645
                  31,            0.068963,             0.33105,           0.0013713,            0.031758,            0.095275,            0.026661,           0.0093698,            0.065825,             0.34095,           0.0014035,            0.008515,            0.008515,            0.008515
