               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068006,            0.042412,                   0,             0.24154,             0.32165,             0.13827,            0.029467,            0.032951,            0.025852,                   0,            0.070075,            0.003325,            0.003325
                   1,            0.048564,            0.027521,                   0,            0.062116,             0.35313,            0.046907,           0.0098887,            0.037047,             0.01561,                   0,            0.040053,           0.0066364,           0.0066364
                   2,            0.045448,            0.025867,                   0,             0.45013,             0.45594,             0.29977,            0.093566,            0.026916,            0.019623,                   0,            0.010009,           0.0099257,           0.0099257
                   3,            0.041721,            0.027136,                   0,             0.49254,             0.51875,             0.34213,            0.094528,            0.021576,            0.021034,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.034878,            0.027658,                   0,              0.5107,             0.53906,             0.36855,             0.10242,            0.021339,            0.020954,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.031227,            0.026543,                   0,             0.39566,             0.69312,             0.38029,             0.13977,            0.019202,            0.022256,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.028907,            0.026553,                   0,             0.43757,              0.5006,             0.32239,              0.1087,             0.02184,            0.020245,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.027129,            0.025668,                   0,              0.3803,             0.68925,             0.31893,             0.10307,            0.021686,            0.021398,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.026684,            0.025034,                   0,             0.37043,              0.5371,             0.30117,             0.10218,            0.022874,            0.019897,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.025121,            0.025145,                   0,             0.43464,             0.63531,             0.39277,             0.13156,            0.019511,            0.020753,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.024504,            0.024752,                   0,             0.36304,             0.48714,             0.27247,            0.090588,             0.02421,            0.019374,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.024337,            0.024537,                   0,             0.48519,             0.57656,             0.41148,             0.15167,            0.018398,            0.020459,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.024395,            0.024378,                   0,             0.41561,             0.68375,              0.4284,             0.16931,            0.018323,            0.020939,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.023348,             0.02453,                   0,             0.42015,             0.46156,             0.32428,             0.10986,            0.022353,            0.020134,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.024119,            0.024151,                   0,             0.42333,             0.47906,             0.30197,              0.1026,            0.021801,             0.01949,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.023672,            0.024214,                   0,             0.46297,              0.5225,              0.3893,             0.14387,            0.019729,            0.019968,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.023024,             0.02388,                   0,             0.48605,             0.58219,             0.43277,             0.16493,            0.018258,            0.019952,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.02259,            0.023854,                   0,             0.53151,               0.525,             0.43057,             0.15581,            0.019826,            0.019386,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.02271,            0.023671,                   0,             0.50924,             0.55344,             0.43721,             0.15644,            0.018831,            0.019876,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.022379,            0.023485,                   0,             0.59444,             0.58721,             0.51508,             0.20548,            0.017178,            0.019515,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.021798,            0.023896,                   0,             0.60055,             0.60465,             0.54286,             0.20609,             0.01697,            0.019642,                   0,            0.009373,            0.009373,            0.009373
