Pred_inc,Pred_PA,Real_inc,Real_PA
-18.501284,22.296614,-21.3,31.332212
69.05909,141.79776,69.0,166.65878
64.52601,-98.5873,63.5,253.51437
-60.281914,-16.73475,-64.9,342.22177
-41.34837,-61.047,-42.6,295.78375
-72.00396,58.507927,-78.3,109.64707
-39.054783,-59.42567,-36.0,292.9195
-41.272194,34.09695,-37.8,40.820362
28.827202,-55.594223,34.9,296.94852
-14.869768,77.53517,-16.5,78.36298
-55.535572,-99.340164,-59.5,259.36154
-77.271484,-113.45566,-76.4,252.41238
47.2602,-108.021835,49.4,236.74605
-68.21434,-23.182753,-67.8,339.09372
20.074223,-36.880753,20.9,316.84106
-35.543358,84.97683,-34.7,89.04806
80.35653,-132.46411,83.5,262.79993
41.592854,95.37861,42.3,82.101326
-1.3886204,-93.028336,-2.6,264.95584
5.602994,-155.23898,5.3,192.57306
69.31904,-147.02185,68.6,170.71458
70.34192,65.43561,70.3,58.042446
24.933653,160.36906,23.8,170.23888
58.998226,-77.14755,61.7,282.3841
-8.043695,105.962234,-8.0,124.75616
-65.683014,-37.153564,-66.2,307.8993
56.894234,-183.50583,56.6,181.68805
-78.61351,33.1549,-88.5,358.24646
88.17277,55.8507,-87.0,117.71512
-20.188019,-12.110629,-19.3,344.04013
7.5642567,-113.14375,9.4,240.26306
-8.134716,149.13039,-9.7,151.17932
28.814028,-97.46352,27.2,252.64717
-22.172451,-90.586075,-20.2,253.64754
-82.92287,144.9669,-86.0,170.49678
-14.8716755,-90.03599,-17.1,259.4802
-76.42031,-89.15751,-81.4,288.82053
70.97415,90.01178,71.0,86.10976
30.212116,115.37418,31.2,120.26512
-70.74068,73.34546,-87.0,85.05701
-31.861376,39.572735,-26.9,39.606388
-15.94823,-52.53379,-15.0,302.0308
24.003746,-131.82442,81.2,219.59962
-76.36566,-38.499474,-82.1,316.6061
-81.84361,-8.630845,-87.2,350.11374
63.969578,129.97336,60.6,136.65073
43.479378,-36.900017,42.6,316.50797
-80.85079,-43.18425,-89.3,311.86902
-82.37547,-89.66125,-86.3,351.33075
58.015976,-17.656597,60.4,340.63162
-66.042435,105.097916,-70.3,111.23496
-4.8868628,-56.480186,-8.2,294.47018
73.45087,2.8321137,67.1,329.53284
-33.461826,-133.48679,-31.9,214.8988
52.31496,-151.56221,84.7,201.665
-72.95372,-16.152742,-80.6,347.0066
-24.773262,133.33778,-23.0,131.10756
-80.528244,-175.67166,-83.2,169.4975
-19.242538,-117.82874,-21.5,235.02026
71.80342,-150.6619,67.5,208.12166
-79.844955,-149.16364,-84.4,171.80101
-86.820854,36.131695,-88.2,132.46579
68.828026,-139.42867,70.3,184.18527
-68.211975,-147.99023,-71.0,200.31636
78.39072,-158.13705,78.2,256.80255
53.647774,79.160706,54.2,79.812546
61.764812,-74.97387,60.8,283.2708
-41.823856,-7.635018,-45.3,357.87418
-70.60658,114.13,-71.3,129.31615
48.868793,26.648846,46.3,25.312902
32.896317,158.9452,32.8,155.49509
13.853674,148.5319,10.9,154.19937
47.98191,-110.27635,47.7,240.02713
42.187454,-116.14906,42.6,234.65292
-39.212814,37.32904,-42.9,43.92393
-46.279846,25.612148,-46.5,37.218952
-21.6283,-121.01326,-21.0,219.6957
70.01058,-181.98062,67.0,161.64055
59.801212,-123.03085,58.9,226.88719
-5.655616,138.13933,-7.3,143.87903
16.506433,-40.92787,11.6,316.26892
-56.5584,41.07346,-59.4,53.617603
71.97216,44.79147,73.1,38.487556
25.81587,-72.84992,27.0,275.36877
66.981735,0.424998,73.0,1.2476842
42.929234,-19.299654,37.6,338.6272
14.061114,-44.508587,10.8,313.91016
40.746246,55.61125,36.2,60.56102
56.37066,131.64262,57.9,139.94595
-14.410941,52.34839,-17.5,55.5083
-46.527943,-94.1191,-43.3,264.62268
49.186306,60.993828,55.4,65.17118
30.047644,62.86587,31.0,65.54532
69.85949,123.77327,68.6,127.79128
76.253,-117.91074,77.7,229.48596
-81.3481,24.257858,-88.6,51.877895
-34.500744,-65.107254,-25.7,290.74127
66.668724,150.1125,73.7,169.68451
35.566494,0.15174924,28.8,351.22174
45.84295,-131.12189,48.6,216.84041
-82.13282,16.81156,-84.9,319.56427
