Pred_inc,Pred_PA,Real_inc,Real_PA
-71.020134,107.857445,-77.2,117.26895
54.783382,55.075645,59.4,45.86576
-35.14825,-9.931719,-41.3,359.8534
65.45725,-101.03152,70.9,257.65222
31.864796,-76.2478,30.3,268.5013
-55.548378,-172.9109,-60.4,176.9193
-66.78478,-113.29199,-68.9,255.36421
-26.642256,-117.83657,-24.4,241.61275
-82.87547,122.15784,-87.0,85.05701
-64.28334,-126.46822,-70.3,220.77484
75.33623,-166.78651,70.6,190.27405
18.453644,9.30868,19.9,13.413047
-8.250423,-191.31679,-7.9,143.0059
29.681503,-55.010788,29.5,296.12994
-85.22445,6.7918534,-87.3,15.579031
-62.825344,-10.961573,-59.5,343.4088
70.76737,177.81042,78.8,180.51787
66.910484,63.163097,64.5,61.15389
-5.782811,-143.69897,-3.5,201.60988
24.924839,-118.483376,24.2,237.27364
8.708665,77.83412,9.1,81.80447
-3.2513573,-182.31879,2.4,173.09486
-45.57533,-93.465355,-48.8,263.54477
-85.89315,0.68642116,-88.6,51.877895
49.187187,55.651592,52.7,56.272205
57.971394,-55.811935,58.6,288.77737
-57.907425,1.3332283,-55.2,359.3446
52.7805,-55.06207,50.7,298.18762
80.03169,63.83929,82.5,32.664314
66.08476,46.98974,67.4,31.934917
68.18674,40.14673,70.3,28.094557
-29.389751,-25.851479,-29.7,335.42273
74.57473,106.37365,75.9,65.11286
48.956158,-125.63439,49.4,236.74605
-52.27917,147.39233,-55.6,183.89099
70.78507,112.182144,77.2,126.60457
48.885525,-42.475468,47.2,305.82892
-55.326176,-91.375946,-88.9,292.15442
56.96421,-60.018803,55.6,291.62827
18.560137,86.53558,16.9,91.22223
-21.323587,40.17313,-19.1,46.96322
-27.001755,122.48467,-23.6,126.356
46.967564,-80.735146,45.3,276.71082
62.491783,22.764126,67.6,21.241997
25.927547,-74.78285,29.9,282.41394
-59.842888,-53.729496,-61.0,311.53442
69.45323,-55.110176,78.8,316.86456
-76.7464,53.86348,-85.4,12.042369
24.801287,-182.69,26.7,166.05305
68.62487,-7.3916593,73.1,4.5384417
85.54017,-23.185486,87.4,117.57218
-73.763535,-44.969315,-67.5,315.72318
-93.39707,19.210503,-88.2,104.280685
84.159,7.425878,85.7,78.22341
-47.58823,-29.10135,-47.3,330.8905
81.94118,75.48127,78.5,78.26505
76.446754,-1.204217,78.5,5.0213237
34.74144,-100.42094,33.8,262.02402
-28.754154,60.711994,-28.2,68.47345
48.413998,60.652527,44.4,60.975716
-78.37377,-139.27132,-86.4,263.42593
57.21754,-61.844814,57.2,299.63132
-60.35284,-144.65617,-62.7,227.959
19.337414,106.29156,23.3,112.863716
78.91743,121.6029,82.3,142.7449
-27.017859,-145.85141,-30.5,211.13434
73.86904,144.12297,-85.7,214.85211
62.496387,-31.787832,61.5,326.08356
-42.400288,-178.62189,-48.1,174.21571
70.65978,120.72193,70.3,142.62064
-70.47466,-95.34717,-74.4,259.7359
66.809525,-96.02228,69.3,255.69667
83.25733,-132.82814,76.1,204.22969
71.02697,-153.53293,76.1,205.63708
79.45025,-138.55916,78.6,206.80132
-77.39658,-48.885033,-77.1,304.07468
-7.479476,26.300222,-8.9,26.651907
11.871787,-95.201836,13.4,259.91473
28.859684,-10.61531,27.6,344.37674
17.7369,-71.50238,17.2,300.96237
14.298878,-127.75877,13.4,227.6544
36.83291,-33.473793,39.2,321.94333
-30.0874,0.1369684,-26.7,359.99118
16.280266,60.190468,12.3,68.562546
51.878887,167.62218,56.6,181.68805
51.93104,48.650448,52.0,52.833183
-9.512947,-223.8323,-12.0,118.31061
17.19038,87.99731,14.9,97.16165
-1.6669066,-25.475208,-2.8,330.93777
23.976027,93.10772,87.5,198.35979
-33.179108,-204.32947,-32.5,144.08519
5.677425,-31.490906,5.7,326.53534
-20.582458,80.159935,-19.3,84.717735
41.150333,-136.09805,42.3,217.54478
31.927217,-13.885284,31.2,342.32248
68.27066,-149.30064,72.3,167.0439
-52.951775,-59.20832,-49.0,292.70944
73.42971,114.85814,73.7,90.744446
79.51672,-159.3614,79.0,165.18849
-42.547184,115.91222,-44.4,124.00021
40.35563,-21.89404,44.3,332.34497
-62.10701,-77.19723,-61.5,281.3053
-68.82493,-60.284443,-74.2,290.92188
21.48005,34.736637,28.9,38.322697
74.68946,-138.47488,79.1,207.47295
-32.665928,28.957476,-35.8,34.81358
4.286766,148.89613,2.9,135.86095
10.106004,78.04857,9.7,88.86714
-49.626694,139.05267,-54.2,176.54614
2.8149583,20.097113,3.1,24.955309
-31.864948,-183.32594,-33.1,180.09137
28.730656,-34.54892,30.5,317.8597
-67.85301,-24.319992,-61.9,340.39487
-64.353065,-63.448357,-62.9,289.8966
-76.91248,-107.857796,-80.3,233.07097
-44.62625,-37.13799,-44.8,320.57312
47.887184,104.49889,42.4,116.94527
5.907528,92.27963,9.4,97.49584
20.89953,133.96997,22.8,149.2312
48.80758,139.58109,49.7,135.0194
3.0300407,115.64191,7.0,124.43463
49.93396,-12.722509,48.9,343.61633
-48.707317,-34.006706,-51.4,326.7878
24.218287,-174.98259,24.7,165.81834
58.752644,38.0796,60.1,41.734135
-24.170166,-40.674404,-24.4,319.01212
46.26415,-175.19478,47.0,171.33984
-12.07027,-205.7854,-8.7,140.10931
10.398997,37.487415,11.1,41.700386
-28.37661,-101.11233,-27.0,251.17001
64.002464,-41.63951,69.8,315.9418
20.746735,-92.586845,24.5,268.55954
49.046738,20.686337,46.3,25.312902
-86.43819,9.670244,-83.3,4.2952824
73.50243,154.1013,75.1,166.49474
-10.892912,34.96051,-12.6,34.824078
81.85178,-162.19418,84.8,172.81624
28.627134,-139.81471,27.0,209.7851
56.378704,-78.34353,57.8,270.3746
-47.879932,96.005875,-50.4,108.1711
46.852386,156.60637,43.0,156.27635
-89.236465,-152.0607,-87.2,183.46652
-47.285583,42.397423,-48.2,44.927265
1.2288024,-91.769394,0.8,281.2259
11.388417,70.397316,11.3,82.804886
-71.81249,-22.972876,-69.9,338.07126
6.7022614,88.52665,11.2,115.04108
-22.825588,-133.95694,-21.9,214.29466
-24.083838,28.268688,-23.1,32.6477
-72.08111,-125.37267,-70.7,221.86816
-14.193946,-148.84343,-17.6,209.94519
4.3049064,111.57895,5.6,107.08481
11.440113,110.82748,12.6,121.09732
31.960209,5.4009266,32.7,2.5584686
58.66289,119.77206,52.5,118.837776
-60.39057,-173.80829,-51.6,191.09671
47.960255,-175.39809,51.8,187.2063
34.14625,22.395163,33.2,21.946718
-75.02748,101.352135,-78.8,127.32197
-0.17563619,87.93633,0.6,80.78017
-17.906204,-110.046234,-15.9,233.33
59.991886,14.5225115,62.1,11.378938
-44.983257,-144.18843,-43.8,199.4854
-8.044455,152.73184,-6.9,135.6905
-74.172066,-107.38144,-74.0,264.88492
59.365456,149.88463,54.3,169.95137
-74.29655,-112.2473,-75.3,240.06433
66.75853,68.05845,68.6,62.24202
53.400166,-125.01108,54.5,234.54832
-23.27702,84.39202,-23.6,73.73232
-77.70724,71.72218,-76.2,65.92795
67.90442,35.522934,72.8,34.582424
-83.07967,-40.33202,83.2,270.854
-63.90756,-81.77999,-60.4,283.62738
66.00528,149.60522,87.1,298.59906
-34.722073,-37.444473,-32.2,319.9012
24.145542,1.2987797,19.7,358.14673
-5.808032,-34.023975,-5.8,316.01843
-40.127316,-82.971794,-35.8,279.21692
34.70635,-11.259199,34.9,348.98096
54.195526,174.22299,62.6,180.83722
14.852582,180.49217,14.4,204.38702
-18.919437,-40.91456,-19.6,322.41965
72.563866,150.70146,79.4,159.86757
-0.34524247,-178.84421,2.0,180.66133
-43.46625,26.709904,-42.9,31.65258
-49.052624,74.66087,-38.5,80.72467
-87.56329,-134.86862,-85.4,191.33736
39.16549,97.22719,41.9,108.26504
37.9172,97.26969,42.9,101.29495
-0.98761475,-58.02277,1.1,306.44748
-84.55224,27.777027,-87.2,16.628094
67.40727,82.04388,60.6,62.165085
-50.20727,23.200468,-50.8,16.19348
13.832371,11.438115,13.4,15.63791
19.87789,-3.4286149,20.1,353.31512
-34.934135,-79.818756,-33.9,277.7465
-69.50552,153.90414,-64.9,154.31842
5.5359244,-130.67078,2.6,239.24887
1.0039619,42.53032,1.8,55.390995
-70.734474,77.9263,-70.5,105.681
82.96662,15.007706,79.4,357.0359
83.532524,-90.38895,90.3,200.9094
70.13055,81.45659,83.2,282.51935
