Pred_inc,Pred_PA,Real_inc,Real_PA
-15.211912,130.32785,-57.4,174.72845
11.546435,37.779774,6.6,45.25358
-56.61281,-85.53219,-65.8,273.20892
2.8138852,-147.52635,-6.0,201.03416
70.08026,-151.23636,72.3,203.6094
83.293015,-107.64283,-76.5,236.22568
-38.611816,46.797836,63.8,36.589325
10.162343,-52.872124,-20.1,311.13168
-4.546444,21.467548,-18.7,7.3916974
-56.43246,141.71962,-65.8,181.44678
-71.508736,-46.79987,83.3,318.2744
-12.438975,-7.1939373,-20.5,0.06511002
48.455723,30.91988,64.4,20.24139
-43.725586,-106.299034,-42.4,251.78842
-36.396454,60.50739,-37.7,70.54951
61.301174,75.70505,-54.8,83.065056
40.24392,14.821411,-32.9,18.55891
51.85028,127.8296,-58.1,133.59792
20.449375,40.258125,16.2,39.21696
-60.733223,-127.345566,69.9,194.19539
44.339237,-133.7402,-53.4,210.28365
-31.600285,84.609795,-43.7,95.82783
0.018909529,-15.25852,-2.2,306.7218
-8.978054,-149.94482,11.2,213.32742
28.105146,11.431379,-62.3,19.180796
-22.53082,58.90486,-18.6,55.54308
-45.75399,-154.02156,72.7,180.12099
5.4884677,119.122475,6.1,129.9321
13.511935,124.86627,-26.6,150.55737
40.052658,-109.56466,51.0,222.25148
-33.73847,99.581566,-16.8,107.979935
58.422527,142.25226,-72.3,161.6996
-61.04221,173.41443,-87.7,204.53445
8.619384,11.52371,10.3,14.820755
60.022373,-43.427387,67.5,320.24298
16.178347,-54.76413,24.0,312.02322
75.78715,-127.09995,88.0,154.6882
12.59083,-142.79547,52.6,167.0661
66.07691,47.701687,-68.5,81.46537
-13.171941,-170.86365,-38.4,188.09178
-69.23054,-25.628586,-76.8,8.595192
26.656776,-144.25739,26.1,191.83786
79.69415,84.37639,-89.4,72.982155
15.020943,-124.53326,14.2,233.89978
-13.574327,60.134876,-1.5,59.479736
57.539944,16.785963,85.4,337.05453
-0.09000772,105.421326,-16.7,114.86014
-22.503925,-72.54311,-40.3,287.69617
-73.82151,15.077498,-85.3,336.51215
-0.026981995,-81.49121,0.4,255.25475
60.990643,109.93717,-83.9,161.75954
47.04653,43.713703,57.8,42.261555
48.69615,4.460785,32.5,0.10117612
-2.1179755,91.565926,45.9,86.31297
45.14066,159.78882,42.4,157.8824
70.34907,144.38297,67.7,161.07513
-40.255894,-27.900576,-40.6,331.65363
-61.25513,40.184418,70.9,44.036037
-38.3655,27.748083,-48.6,32.332634
-77.87589,-43.363125,80.7,317.33127
79.70867,58.20356,-86.4,82.44668
-8.174024,163.82872,1.1,167.26324
80.05667,-145.55693,85.7,218.51614
63.177414,-26.758013,49.7,319.453
-32.499584,-62.19577,27.0,279.51108
28.431664,158.03336,39.6,154.87447
17.467302,14.2087,13.5,22.463198
-3.8560665,-99.045395,5.4,254.41411
-74.35247,-0.68960845,86.6,150.77126
55.600155,-90.534836,65.6,276.663
-24.617964,19.884089,32.1,15.594947
11.756567,-7.193761,-9.4,1.4335518
-7.169237,-4.300825,-35.2,359.47415
47.795437,-103.77798,48.2,241.98952
82.61931,-25.564249,76.4,324.79837
19.971352,-45.93966,52.6,304.1147
15.2295885,97.27404,24.5,97.915634
-5.023703,-84.20596,1.7,274.73947
-35.786587,-42.403835,-25.7,310.77716
-17.859993,14.301386,-16.5,20.444313
55.05354,-148.62427,69.8,211.43486
44.78719,-141.48485,40.7,208.57967
-74.53554,-151.26273,-61.0,224.24536
75.23175,116.62005,-72.2,135.51738
57.299057,-17.979252,66.1,350.39816
-42.674446,-145.5543,-40.3,221.77089
8.976141,55.846966,41.9,41.920223
-12.075749,80.54287,4.7,87.55049
22.198105,-114.79614,-25.9,240.34813
36.994022,5.958555,-61.0,29.500195
-58.71244,176.40123,-58.9,205.79378
68.3204,38.03025,75.5,15.61957
-50.254086,17.548468,67.3,51.29688
32.91667,124.90069,39.3,135.42723
-72.23922,8.02641,-70.2,4.8510566
63.98763,53.815765,-68.1,72.34412
-18.195768,-89.05861,-51.4,274.64093
1.1330521,30.988674,7.6,44.158127
-18.874332,-30.913355,-18.9,332.0981
-13.467909,35.853912,3.0,44.799423
41.68704,-50.56702,37.6,312.6419
-42.710575,-176.147,-29.7,187.77475
51.53735,74.15441,69.7,64.96191
40.469517,7.0098696,37.7,4.1327443
12.074108,-60.569443,13.1,291.54883
77.85855,19.770384,72.3,329.9413
-26.389881,14.704124,-2.9,19.311575
16.316307,-80.556305,25.9,274.65582
-16.036436,-148.47755,-11.8,168.16426
38.24959,-5.045906,-78.9,331.60327
1.665765,84.183716,-8.6,93.873695
-21.3967,127.373764,41.0,124.49799
-51.164078,-119.50485,66.9,229.83272
22.373827,-30.960945,-68.7,327.20316
67.65434,98.15293,85.2,82.20397
0.102435015,90.91657,3.0,91.87051
-49.742725,107.18393,50.6,111.95186
46.684677,-75.685196,-36.8,282.2605
52.584614,-132.40253,54.2,201.62935
71.69233,-37.59038,-78.2,345.6856
-16.081781,48.664337,-33.6,53.915615
14.595669,-134.74629,34.6,204.41125
0.1948432,-80.91133,-0.9,267.95746
6.1368136,-171.01172,-57.7,185.97379
-5.5667815,-93.3123,-5.4,259.94516
35.573605,38.350903,45.0,12.601235
22.404936,76.70819,-36.2,86.77528
63.749218,-133.95895,62.4,194.33217
-51.41797,-168.71202,-49.9,193.29651
-44.555706,105.51214,58.4,89.78899
-30.976088,-67.23342,-43.5,309.4141
-38.150948,78.06331,-57.0,84.128105
-28.66992,101.18071,-30.0,119.16393
-60.123936,-95.225845,-79.3,288.5285
31.511616,25.637184,22.8,16.82477
55.231922,12.064182,-66.7,23.309238
0.11229323,151.003,0.4,160.00053
-52.467083,125.84332,51.3,117.37916
-42.80106,-35.823612,-58.3,330.70416
-70.014786,1.8986499,-70.7,6.948325
33.57727,-139.94527,67.8,175.42531
28.551235,-99.85624,42.8,246.06506
13.53571,-30.662102,29.2,321.4146
11.784303,79.159225,33.2,72.80855
74.56903,94.48514,-80.7,180.51964
-4.526138,146.88846,-31.0,164.3705
53.048923,-119.03068,-61.0,251.17342
72.32908,157.37906,-77.9,183.88559
79.57733,106.75843,-85.8,87.83386
-76.346985,105.0716,-89.0,151.0232
55.304424,-22.318869,61.3,333.67456
-70.430954,-124.43161,-81.6,233.56175
32.049717,-94.176796,21.6,252.09297
-73.08971,31.263132,-68.9,57.09411
43.14242,57.545532,86.5,198.09201
17.304996,87.98947,12.3,98.98564
-0.0116034895,149.82054,-8.07e-13,170.351
-62.810078,52.882587,85.9,270.44748
5.851555,22.238161,-57.1,31.938356
9.368349,-160.39333,12.8,186.58667
-59.881306,111.197014,-41.7,120.27802
54.766434,123.779175,55.0,121.32992
0.14305334,151.98105,-16.0,173.37634
36.789646,-102.955284,67.0,248.33983
59.877117,0.68741345,71.8,351.25616
-60.548496,-124.186,-39.0,248.62044
-20.093681,-54.249695,39.8,304.1374
-60.561924,-93.05771,-89.1,357.9509
-25.480976,146.61855,-1.1,144.9157
35.133537,-9.953131,66.8,344.225
56.6175,-16.701546,69.7,349.33368
-1.1149511,-177.96341,-19.9,177.00322
-2.0768738,45.29285,29.6,45.78044
30.555801,9.500399,-35.7,14.866147
-55.48723,-59.82815,-50.3,312.44177
31.461153,145.51825,-44.0,181.41861
-0.19903456,102.17323,-18.2,117.26252
12.88204,88.265724,5.4,81.473915
-68.84746,142.21257,-66.2,153.49925
31.355078,-84.60181,-31.4,270.9521
77.15811,81.83261,84.4,288.21832
5.720498,120.33163,-11.0,132.0667
56.46546,-69.53473,-49.2,294.16418
0.23873508,142.85957,-0.6,156.7947
-50.112194,-78.28696,-45.1,299.37012
-55.084267,-67.89501,-50.6,286.8104
46.923985,-101.513794,-62.2,252.99394
12.499332,86.02082,-25.1,95.84601
-37.598816,-114.322365,-30.9,240.77936
-72.12085,-21.00006,88.2,163.21211
16.388208,-65.4914,-3.0,297.74356
8.570876,135.46303,16.6,124.27614
42.257328,-134.9057,-41.9,220.48901
68.00761,12.683612,78.5,5.891568
-35.27257,-22.424646,-41.0,337.77966
-57.660503,-35.943127,-68.6,356.23892
70.09813,76.32355,75.6,96.054184
-26.593159,-45.07435,-22.9,316.05292
-4.0671005,-55.328506,-13.7,291.27164
33.82778,-24.403429,70.1,326.12146
-72.41219,-140.03206,-71.4,214.97801
-3.211022,-21.348866,28.2,335.147
51.638683,112.70527,31.8,110.23695
-70.67055,-120.18326,82.5,225.08612
20.893133,-90.970215,70.3,258.78732
9.646768,92.54964,-5.9,98.83609
0.0727272,149.12093,18.3,138.20732
-10.24293,31.211567,-15.3,33.613785
26.866926,-173.88799,-17.1,180.48662
49.59863,114.192,-62.6,128.1797
-54.043995,65.102776,-63.3,69.42173
-55.032364,-119.83859,-50.1,236.41408
-34.939053,-24.36627,-6.0,325.03928
3.8043225,-35.192844,-36.3,317.7369
67.850914,45.852894,-66.1,64.88344
68.054306,-110.50865,58.4,246.44984
-0.0148734,-96.61705,-1.1,260.11578
-34.53359,-148.34088,-0.3,206.95073
-70.942406,-76.90566,84.8,303.48416
54.295273,-27.5629,58.6,336.21268
-42.091805,105.91265,61.2,78.28807
64.72355,135.14336,-68.0,188.40227
60.93688,-122.8636,-65.3,242.08432
63.01045,40.99442,65.9,39.82793
-61.912724,82.54812,-65.2,110.17986
-61.56882,-87.089676,-64.6,262.58038
-73.44252,-153.88745,-64.7,197.85799
0.3565911,-77.48236,-19.5,275.69016
54.95136,99.55023,62.2,89.37124
54.500126,-115.183014,-88.3,208.8693
24.015244,-9.024158,-18.3,358.2221
-5.7352176,104.71532,45.0,106.641075
-72.701485,-147.20082,88.7,316.88803
34.664776,-34.35565,35.2,315.2253
-27.09513,9.802795,59.5,349.86877
43.268658,-87.02283,44.6,255.71822
43.58723,-76.03675,-72.1,302.1557
-4.4382615,-140.9338,-5.5,218.32852
73.60498,15.416098,-83.0,30.800253
46.29609,-33.45243,-47.6,349.27768
-14.226414,111.77859,27.6,114.821526
-68.288025,22.438059,-58.5,38.151844
37.967922,135.35988,75.3,137.96826
63.98157,-83.65181,71.4,268.31763
11.95837,-18.062374,23.2,336.66226
62.670914,125.81185,79.5,122.25109
0.6481949,-74.021614,-3.1,288.8334
0.055780627,-120.29543,-3.6,225.64343
-14.946156,111.02503,35.8,98.399254
60.3287,-87.49492,-73.3,260.22824
-29.846497,-85.20469,-26.4,284.5423
4.4081664,155.18498,-10.9,159.60672
-23.932919,63.136684,-36.7,73.0264
4.8302627,-91.8641,-14.1,263.67282
20.87739,54.45017,26.0,42.02258
-11.666653,6.884611,2.1,7.2231765
16.688404,9.893118,31.5,27.911003
28.936861,-43.659283,23.4,307.8699
24.279892,-14.506333,-37.7,356.02426
55.03971,-29.496847,-66.2,339.92804
-36.925503,159.97171,84.7,166.96614
63.447796,-113.8948,69.1,231.9448
54.396095,39.204784,50.9,35.62945
9.125103,-4.387643,49.6,358.85516
-0.058854684,139.08081,5.6,149.12257
-45.155754,-25.85176,-53.9,330.8279
9.278215,-48.718365,-11.3,319.29498
67.538055,-76.005066,65.3,264.52887
-26.68682,67.77463,-34.4,74.557594
13.559581,-95.206345,21.4,251.59789
-57.46702,-139.38025,71.8,193.61131
-8.192964,-4.310582,-25.7,359.83932
34.07943,117.456566,25.8,117.05002
-73.29978,-124.68378,60.7,227.84506
-26.928041,-8.879538,-13.0,348.27368
55.506104,-83.3264,50.5,252.68095
57.804173,-49.855347,-59.1,328.24005
52.46899,-104.216835,41.3,242.57901
58.613354,33.329937,63.0,12.89435
43.00975,-43.459145,61.6,315.37677
-39.214817,58.95644,-58.2,56.600388
-21.571613,93.22309,83.2,93.6019
54.913456,137.27783,-45.8,158.53743
47.300255,56.84998,52.0,47.485306
47.157394,23.657784,65.4,20.32815
-37.28921,79.09281,-80.5,96.02731
0.056210324,-158.23842,-5.1,195.58838
71.92744,-146.3748,86.5,187.00365
61.743435,21.117794,-52.9,28.539173
67.16288,-45.902283,-75.7,342.95767
-13.178357,-41.004314,-12.3,321.0984
-17.548216,-94.06547,-8.8,253.20424
41.63447,14.177825,70.9,359.7924
77.59001,172.8102,-86.2,227.57384
47.467976,76.99833,-83.5,91.29493
-71.947105,135.09766,-75.4,114.35981
-14.600964,-23.03227,-19.2,337.7681
43.136223,125.8538,74.1,147.98015
38.141537,81.04254,78.2,80.88875
72.299545,34.923122,66.5,43.55527
13.808707,-55.76802,22.5,294.3807
0.030966915,-179.95822,7.0,165.0412
-23.225454,56.211926,3.0,81.69036
67.71755,-48.391098,78.8,282.67923
-16.938719,126.33124,0.4,135.39531
