,Pred,Real
0,70.77859,72.0
1,70.85327,74.0
2,72.01832,74.0
3,63.675842,64.0
4,64.70099,64.0
5,70.61568,73.0
6,64.031364,64.0
7,70.955185,71.0
8,71.186005,74.0
9,65.11645,65.0
10,69.351746,69.0
11,64.20547,66.0
12,67.66061,67.0
13,67.942894,68.0
14,66.4706,73.0
15,70.472916,71.0
16,69.40746,70.0
17,68.83862,69.0
18,68.063194,70.0
19,71.387856,74.0
20,69.49875,72.0
21,71.62456,73.0
22,64.058716,64.0
23,64.306595,67.0
24,70.37933,72.0
25,67.90142,69.0
26,65.89099,66.0
27,70.41736,71.0
28,71.966866,73.0
29,66.94273,66.0
30,66.03281,66.0
31,68.01787,69.0
32,70.152405,70.0
33,70.75928,74.0
34,71.24385,71.0
35,70.701355,73.0
36,70.58768,72.0
37,70.292175,73.0
38,69.597946,71.0
39,65.842514,68.0
40,69.23448,69.0
41,67.00192,67.0
42,70.82202,70.0
43,70.623116,74.0
44,64.6176,64.0
45,68.37736,69.0
46,65.38938,66.0
47,68.20372,70.0
48,68.07225,69.0
49,71.519936,71.0
50,66.03487,68.0
51,68.80345,68.0
52,65.151474,64.0
53,65.63874,65.0
54,66.59352,66.0
55,67.44455,72.0
56,67.36531,67.0
57,70.81534,71.0
58,66.262535,67.0
59,67.40667,68.0
60,65.80807,68.0
61,65.3728,66.0
62,66.953476,68.0
63,73.588844,74.0
64,64.84707,64.0
65,70.22696,73.0
66,69.21562,71.0
67,68.83122,68.0
68,65.701645,66.0
69,64.081635,65.0
70,68.04693,69.0
71,69.12506,70.0
72,69.33397,71.0
73,73.13541,74.0
74,63.92995,64.0
75,65.53212,70.0
76,65.32474,68.0
77,72.40976,74.0
78,69.374825,67.0
79,69.334175,72.0
80,67.81288,68.0
81,71.48404,73.0
82,69.02498,70.0
83,68.655106,69.0
84,69.76873,71.0
85,67.323586,67.0
86,70.22768,72.0
87,67.13169,66.0
88,66.20417,66.0
89,70.32158,72.0
90,68.08896,69.0
91,67.32205,68.0
92,68.513794,71.0
93,65.52743,65.0
94,66.69876,67.0
95,70.0469,72.0
96,69.53935,70.0
97,68.64261,69.0
98,70.994316,74.0
99,66.59954,66.0
100,74.26796,74.0
101,66.57301,68.0
102,65.95154,65.0
103,66.16171,65.0
104,65.947296,66.0
105,69.07413,71.0
106,66.08556,64.0
107,65.88665,69.0
108,66.55379,66.0
109,69.582016,71.0
110,71.20862,73.0
111,71.84718,74.0
112,70.68366,71.0
113,65.999214,64.0
114,65.511246,68.0
115,73.50924,73.0
116,73.29191,74.0
117,72.882256,74.0
118,68.22875,70.0
119,67.79451,69.0
120,65.918106,64.0
121,64.91588,67.0
122,66.03431,66.0
123,70.61515,72.0
124,66.65148,66.0
125,64.53357,64.0
126,65.72244,66.0
127,64.01192,64.0
128,63.28854,64.0
129,72.18182,73.0
130,71.484695,72.0
131,64.82712,67.0
132,70.77966,69.0
133,66.06511,69.0
134,69.196945,72.0
135,68.32866,69.0
136,66.542114,69.0
137,72.06703,73.0
138,71.32987,71.0
139,69.95202,70.0
140,67.91914,66.0
141,71.015625,74.0
142,69.71285,71.0
143,67.64084,67.0
144,69.86393,71.0
145,70.75818,72.0
146,69.50862,70.0
147,64.318,66.0
148,66.52736,68.0
149,70.87471,72.0
150,68.352325,70.0
151,71.15508,73.0
152,65.77708,68.0
153,68.44942,68.0
154,68.5034,69.0
155,66.60707,67.0
156,71.11498,73.0
157,66.34205,67.0
158,68.3325,70.0
159,70.37399,73.0
160,72.72864,74.0
161,67.89257,68.0
162,69.996025,69.0
163,72.1163,74.0
164,65.80674,67.0
165,65.95008,67.0
166,64.889465,66.0
167,70.92258,71.0
168,65.05667,64.0
169,69.307274,73.0
170,70.449165,73.0
171,64.752045,66.0
172,63.726612,64.0
173,71.890976,74.0
174,70.43572,73.0
175,67.53716,68.0
176,71.47043,74.0
177,64.47978,65.0
178,69.40911,69.0
179,72.70557,73.0
180,66.82563,67.0
181,65.69733,64.0
182,65.99118,66.0
183,69.73454,71.0
184,69.326324,72.0
185,68.096146,71.0
186,72.07375,71.0
187,70.90593,74.0
188,73.13502,74.0
189,67.88763,68.0
190,65.376656,67.0
191,71.52733,72.0
192,72.43509,73.0
193,70.17096,73.0
194,67.45039,71.0
195,68.49246,69.0
196,69.788765,70.0
197,69.432724,71.0
198,64.69358,66.0
199,69.884125,72.0
200,69.522606,70.0
201,64.79023,65.0
202,69.50165,72.0
203,65.28129,65.0
204,70.51415,70.0
205,64.031075,65.0
206,69.52665,70.0
207,68.00051,68.0
208,67.366936,68.0
209,67.493965,69.0
210,67.510284,68.0
