               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089308,             0.05876,            0.017568,                   0,                   0,                   0,                   0,            0.092124,            0.032324,            0.016594,              0.0784,              0.0024,              0.0024
                   1,            0.072284,            0.036091,           0.0095613,           0.0056337,                0.16,            0.010868,            0.001824,            0.082106,            0.030022,            0.011491,            0.055851,           0.0048515,           0.0048515
                   2,               0.065,            0.030434,           0.0087613,            0.038248,              0.1465,            0.017642,           0.0036875,            0.069576,            0.039576,           0.0099907,            0.033253,           0.0072535,           0.0072535
                   3,            0.069494,            0.027858,           0.0086519,            0.043802,              0.2015,            0.053557,            0.010436,            0.067572,            0.045301,           0.0083523,            0.010606,            0.009606,            0.009606
                   4,            0.059943,            0.032801,           0.0084086,             0.57873,               0.079,            0.033542,           0.0043549,            0.057518,            0.046904,            0.007937,            0.009604,            0.009604,            0.009604
                   5,            0.051584,            0.030229,           0.0076885,             0.60541,               0.106,            0.072261,            0.010339,            0.071053,            0.030204,           0.0077391,            0.009604,            0.009604,            0.009604
                   6,            0.048572,            0.028474,           0.0077799,             0.63445,               0.284,             0.13058,            0.033122,            0.047229,            0.030067,           0.0075195,            0.009505,            0.009505,            0.009505
                   7,            0.043128,            0.029494,           0.0076876,             0.82996,               0.337,             0.31695,            0.071056,             0.04042,            0.024752,           0.0072857,            0.009406,            0.009406,            0.009406
                   8,            0.041369,            0.027101,           0.0074565,             0.92595,              0.4145,             0.42122,             0.16818,             0.03574,            0.023937,           0.0070892,            0.009307,            0.009307,            0.009307
                   9,            0.036848,            0.026364,           0.0074774,             0.36538,              0.5795,             0.43992,             0.20345,            0.030337,            0.021854,           0.0070076,            0.009208,            0.009208,            0.009208
                  10,            0.034775,            0.025779,           0.0077617,             0.91235,              0.4065,             0.42895,             0.13587,            0.035445,            0.022874,           0.0068056,            0.009109,            0.009109,            0.009109
                  11,            0.035227,             0.02499,           0.0072277,             0.39133,              0.7195,             0.58202,             0.26066,            0.029771,             0.02483,           0.0066389,             0.00901,             0.00901,             0.00901
                  12,            0.033502,            0.023687,           0.0074303,             0.42176,               0.515,             0.47447,             0.20145,            0.029257,            0.024197,           0.0066645,            0.008911,            0.008911,            0.008911
                  13,             0.03192,            0.022907,           0.0071976,             0.50085,               0.489,             0.46179,             0.18705,            0.032423,            0.023682,           0.0067299,            0.008812,            0.008812,            0.008812
                  14,            0.029556,             0.02316,           0.0072206,              0.2752,              0.8075,             0.48973,              0.3033,            0.033974,            0.023565,           0.0065866,            0.008713,            0.008713,            0.008713
                  15,            0.031013,            0.022288,           0.0069389,             0.54509,              0.7115,             0.61588,             0.31476,            0.023228,            0.023447,           0.0066086,            0.008614,            0.008614,            0.008614
                  16,            0.029494,            0.022353,            0.006768,             0.51524,               0.528,             0.50607,             0.28103,            0.025331,            0.022256,           0.0065086,            0.008515,            0.008515,            0.008515
                  17,            0.028302,            0.021265,            0.006883,             0.64402,             0.50756,             0.51388,              0.2493,            0.027347,              0.0235,           0.0064676,            0.008416,            0.008416,            0.008416
                  18,            0.027886,            0.021348,            0.006421,               0.517,               0.671,             0.57665,             0.32124,            0.025658,            0.020203,           0.0064621,            0.008317,            0.008317,            0.008317
                  19,            0.026732,            0.021472,           0.0066723,             0.57044,              0.6775,             0.66962,             0.37852,            0.023547,            0.022711,           0.0063896,            0.008218,            0.008218,            0.008218
                  20,            0.025968,            0.019625,           0.0065901,             0.94592,             0.45351,             0.68578,             0.37025,            0.027509,            0.028858,           0.0064268,            0.008119,            0.008119,            0.008119
                  21,             0.02493,            0.020643,           0.0066043,             0.81142,             0.52152,             0.71308,              0.3748,            0.027823,             0.02701,           0.0064268,             0.00802,             0.00802,             0.00802
                  22,            0.024654,            0.020738,           0.0066055,             0.94767,               0.453,              0.7162,             0.33881,            0.028822,            0.037205,           0.0063833,            0.007921,            0.007921,            0.007921
                  23,            0.025306,            0.020602,           0.0071487,             0.70115,               0.514,             0.66779,             0.33913,            0.022365,            0.027605,            0.006307,            0.007822,            0.007822,            0.007822
                  24,            0.024126,             0.01924,           0.0062869,             0.80485,             0.59062,             0.71116,              0.3756,            0.023827,            0.025829,           0.0063046,            0.007723,            0.007723,            0.007723
                  25,            0.023468,            0.018971,           0.0064994,             0.76002,             0.60648,              0.7233,             0.37739,            0.026848,            0.027368,           0.0062387,            0.007624,            0.007624,            0.007624
                  26,            0.023393,            0.018861,            0.006417,             0.94392,               0.443,             0.72843,             0.37007,            0.024999,            0.031469,           0.0061563,            0.007525,            0.007525,            0.007525
                  27,            0.023441,            0.018595,           0.0063373,             0.94616,              0.4485,             0.62856,             0.35057,            0.024883,            0.031715,           0.0061329,            0.007426,            0.007426,            0.007426
                  28,            0.022754,            0.018718,           0.0060238,             0.94551,               0.449,             0.57617,             0.32576,            0.025044,            0.028759,           0.0061481,            0.007327,            0.007327,            0.007327
                  29,            0.022702,            0.018224,            0.006323,             0.94735,               0.446,              0.5821,              0.3245,             0.02345,             0.03071,           0.0060125,            0.007228,            0.007228,            0.007228
                  30,             0.02199,            0.018957,           0.0061051,             0.94096,               0.446,             0.57512,             0.29279,            0.025468,            0.028795,           0.0060272,            0.007129,            0.007129,            0.007129
                  31,            0.022382,            0.020109,           0.0056829,             0.65097,              0.6185,             0.61961,             0.35202,            0.021771,            0.022521,           0.0058207,             0.00703,             0.00703,             0.00703
                  32,            0.021067,             0.01776,           0.0054264,             0.56764,               0.617,             0.57687,             0.35069,            0.022199,            0.019848,           0.0057811,            0.006931,            0.006931,            0.006931
                  33,            0.021657,            0.018753,           0.0055828,             0.55143,               0.643,             0.62226,             0.37037,            0.023427,            0.019708,           0.0056238,            0.006832,            0.006832,            0.006832
                  34,            0.021852,            0.018406,           0.0055404,             0.60402,             0.57742,             0.56167,             0.32151,             0.02359,            0.019717,           0.0055639,            0.006733,            0.006733,            0.006733
                  35,            0.022583,            0.018406,           0.0050918,             0.95793,               0.445,              0.6829,             0.43015,            0.020885,             0.02895,           0.0054369,            0.006634,            0.006634,            0.006634
                  36,            0.020194,            0.018751,           0.0044515,             0.96275,               0.436,             0.65564,             0.39944,             0.02184,            0.029682,           0.0053741,            0.006535,            0.006535,            0.006535
                  37,            0.020616,            0.017488,           0.0044804,             0.95274,               0.433,             0.66337,             0.39582,            0.022219,            0.029492,           0.0051113,            0.006436,            0.006436,            0.006436
                  38,             0.01971,            0.018404,           0.0046124,             0.73571,             0.53273,             0.62957,             0.39552,            0.018783,            0.024984,           0.0049804,            0.006337,            0.006337,            0.006337
                  39,            0.020269,            0.017002,           0.0044139,             0.96119,             0.42783,             0.67935,             0.42535,            0.019694,            0.030741,           0.0047773,            0.006238,            0.006238,            0.006238
                  40,            0.019006,            0.016558,           0.0043493,             0.69223,              0.5733,             0.70459,             0.43358,            0.018511,            0.024725,           0.0048202,            0.006139,            0.006139,            0.006139
                  41,            0.018524,            0.016603,           0.0041512,             0.78518,              0.5845,             0.71878,             0.46128,            0.017492,             0.02088,           0.0046939,             0.00604,             0.00604,             0.00604
                  42,            0.017721,            0.016458,           0.0041605,             0.82042,              0.6085,              0.7432,              0.4337,            0.020062,            0.020922,           0.0044215,            0.005941,            0.005941,            0.005941
                  43,            0.018459,            0.016839,           0.0040066,             0.80711,             0.64527,             0.75158,             0.46561,            0.019481,            0.019361,           0.0043419,            0.005842,            0.005842,            0.005842
                  44,            0.018941,            0.016206,           0.0038412,             0.86822,             0.74118,             0.81676,             0.50778,            0.018711,            0.019467,           0.0042468,            0.005743,            0.005743,            0.005743
                  45,            0.018078,            0.017101,           0.0038296,             0.89913,             0.77524,             0.85632,             0.53726,            0.019557,             0.02056,           0.0042131,            0.005644,            0.005644,            0.005644
                  46,            0.016936,              0.0155,           0.0038891,             0.90795,             0.75884,             0.85368,             0.53901,               0.017,            0.021558,           0.0043926,            0.005545,            0.005545,            0.005545
                  47,            0.018041,            0.016006,           0.0035883,             0.88403,             0.77585,             0.88262,             0.55191,            0.017197,            0.020607,           0.0038857,            0.005446,            0.005446,            0.005446
                  48,            0.017286,            0.016373,           0.0034281,             0.89361,             0.80575,             0.88559,              0.5699,            0.016279,            0.019318,           0.0037649,            0.005347,            0.005347,            0.005347
                  49,            0.016638,            0.015936,           0.0029928,             0.90375,             0.81373,             0.90083,             0.55624,            0.017091,              0.0192,           0.0034708,            0.005248,            0.005248,            0.005248
                  50,            0.017563,             0.01608,           0.0028354,             0.90743,             0.85393,             0.92123,             0.58821,            0.016994,            0.019547,            0.003125,            0.005149,            0.005149,            0.005149
                  51,            0.016754,            0.015184,           0.0025493,             0.91387,             0.81448,             0.90826,              0.6002,            0.014959,            0.026575,           0.0029316,             0.00505,             0.00505,             0.00505
                  52,            0.016612,            0.015622,           0.0025746,             0.91644,             0.82759,             0.90926,             0.54262,            0.016875,             0.03264,           0.0029237,            0.004951,            0.004951,            0.004951
                  53,            0.016542,            0.016161,           0.0023266,             0.90652,             0.84093,              0.9079,             0.47836,            0.018939,            0.032028,           0.0030987,            0.004852,            0.004852,            0.004852
                  54,            0.015451,             0.01565,            0.002047,             0.93555,             0.78051,             0.90419,             0.53582,            0.017958,            0.034089,           0.0026649,            0.004753,            0.004753,            0.004753
                  55,            0.016625,            0.015809,           0.0022671,             0.91317,             0.85314,             0.91184,             0.55709,            0.019015,            0.031305,           0.0028774,            0.004654,            0.004654,            0.004654
                  56,            0.016118,            0.015628,           0.0019751,             0.95436,             0.88125,             0.93238,             0.55178,            0.016851,            0.028823,           0.0024837,            0.004555,            0.004555,            0.004555
                  57,            0.015562,            0.015037,           0.0021109,              0.9612,             0.87611,             0.93676,             0.57455,            0.016075,             0.02855,           0.0023011,            0.004456,            0.004456,            0.004456
                  58,            0.014287,            0.014553,           0.0017355,             0.95679,             0.88582,             0.92651,             0.56188,            0.016658,            0.032004,           0.0023803,            0.004357,            0.004357,            0.004357
                  59,            0.014887,            0.014937,           0.0017285,             0.95495,             0.87729,             0.92415,             0.53323,            0.018201,            0.038088,           0.0024423,            0.004258,            0.004258,            0.004258
                  60,             0.01584,            0.015601,           0.0017527,             0.96646,              0.8731,              0.9236,             0.56895,            0.017753,             0.03172,             0.00249,            0.004159,            0.004159,            0.004159
                  61,             0.01464,            0.015135,           0.0014195,             0.97376,             0.86797,             0.92488,             0.56607,            0.016097,            0.029663,           0.0021735,             0.00406,             0.00406,             0.00406
                  62,            0.014531,            0.015151,           0.0014147,             0.95875,             0.86666,             0.92308,              0.5699,            0.018468,            0.026583,            0.002527,            0.003961,            0.003961,            0.003961
                  63,             0.01383,            0.014375,           0.0014387,             0.95658,             0.89023,             0.93119,             0.60979,            0.015361,            0.025054,            0.002236,            0.003862,            0.003862,            0.003862
                  64,            0.013733,             0.01475,           0.0014286,             0.95332,             0.88642,             0.92306,             0.59527,            0.015224,            0.028344,           0.0022384,            0.003763,            0.003763,            0.003763
                  65,            0.014072,            0.014875,           0.0014131,             0.98157,               0.889,             0.93653,             0.60938,            0.015883,            0.037289,           0.0019745,            0.003664,            0.003664,            0.003664
                  66,            0.013037,            0.014101,           0.0011718,             0.97175,             0.89435,             0.94422,             0.62855,            0.015752,              0.0384,           0.0022132,            0.003565,            0.003565,            0.003565
                  67,            0.013381,            0.013888,           0.0014391,             0.98129,             0.89134,             0.93732,             0.63961,            0.014419,            0.029558,           0.0020207,            0.003466,            0.003466,            0.003466
                  68,            0.013421,            0.014863,           0.0011472,             0.96617,               0.914,             0.94451,             0.65304,            0.014014,            0.029768,           0.0020121,            0.003367,            0.003367,            0.003367
                  69,            0.013128,            0.013629,           0.0011389,             0.97135,             0.89478,             0.94193,             0.63819,            0.014904,            0.040634,           0.0018139,            0.003268,            0.003268,            0.003268
                  70,            0.012428,            0.013932,           0.0012593,             0.97889,             0.89909,              0.9372,              0.6334,            0.014344,            0.053931,           0.0016638,            0.003169,            0.003169,            0.003169
                  71,            0.012727,            0.013727,           0.0011246,             0.97525,             0.90764,             0.93606,             0.63673,            0.015654,            0.040754,           0.0016921,             0.00307,             0.00307,             0.00307
                  72,            0.012516,            0.013635,           0.0011503,             0.98289,             0.90341,             0.93558,             0.62788,            0.014359,            0.035152,           0.0016583,            0.002971,            0.002971,            0.002971
