,Pred,Real
0,-49.8514,-53.3
1,13.750522,16.0
2,-57.301376,-59.5
3,-8.950111,-10.3
4,-3.6968966,-5.2
5,-22.654213,-27.1
6,-65.584435,-64.6
7,33.070347,31.7
8,-55.155334,-56.2
9,74.7055,80.7
10,34.58466,34.0
11,-63.751568,-60.7
12,18.277132,19.4
13,84.14151,84.5
14,66.09072,70.6
15,56.83776,83.9
16,-61.820503,-62.8
17,-81.019905,-73.6
18,37.31708,34.3
19,48.163483,48.5
20,-23.00871,-21.1
21,-58.589058,-55.4
22,-11.534446,-11.7
23,70.44482,71.2
24,54.480286,60.1
25,28.813519,31.3
26,-1.860069,-8.5
27,23.322489,21.5
28,78.973946,84.0
29,-19.019001,-25.5
30,-26.493208,-27.6
31,16.596315,17.0
32,44.953613,43.2
33,85.0362,80.2
34,55.388153,65.0
35,-17.75681,-14.1
36,36.27171,39.3
37,-20.418695,-17.5
38,62.916866,62.7
39,33.972946,38.7
40,-85.037766,-76.6
41,-77.9555,-78.6
42,27.15013,26.5
43,14.699854,16.5
44,9.262947,12.8
45,12.606128,14.0
46,-25.928892,-21.4
47,40.90912,41.9
48,-78.37265,-83.3
49,78.61104,-81.4
50,17.392494,21.8
51,62.05213,69.4
52,-47.34926,-50.2
53,-11.627705,-16.2
54,26.693117,31.2
55,37.284657,41.2
56,-31.653934,-26.3
57,-64.465775,-59.2
58,81.45609,-79.4
59,-78.01593,-79.7
60,-1.3106459,-3.2
61,-37.586964,-32.9
62,-2.072849,-1.7
63,-70.9595,-69.3
64,-71.71457,-84.9
65,38.72517,33.6
66,8.410269,8.0
67,52.228928,56.7
68,21.993406,26.7
69,7.677556,7.3
70,-58.955147,-60.8
71,16.547392,13.9
72,-53.083485,-50.9
73,10.952795,9.1
74,19.329397,18.8
75,-34.426476,-31.6
76,2.2529871,2.3
77,-19.240602,-19.5
78,39.97387,40.7
79,74.69761,76.1
80,-65.34015,-69.0
81,16.468426,12.2
82,72.29352,78.6
83,4.6770515,6.2
84,-42.23554,-40.2
85,-85.40982,-86.6
86,48.10021,50.0
87,-78.68267,-79.2
88,-10.767558,-4.2
89,-26.373665,-26.6
90,65.081795,62.5
91,-5.9470997,-4.7
92,40.455856,42.6
93,-77.35226,-77.3
94,-14.819702,-13.6
95,71.68574,64.8
96,24.512726,24.4
97,0.51422083,4.2
