,Pred,Real
0,71.58801,72.0
1,71.74172,74.0
2,71.42142,74.0
3,63.96957,64.0
4,65.75602,64.0
5,69.57629,73.0
6,64.77307,64.0
7,70.16897,71.0
8,70.645096,74.0
9,64.60351,65.0
10,69.08729,69.0
11,66.95673,66.0
12,69.738625,67.0
13,67.86562,68.0
14,65.89486,73.0
15,71.078,71.0
16,70.93502,70.0
17,67.931465,69.0
18,72.31121,70.0
19,72.154526,74.0
20,70.6979,72.0
21,71.221245,73.0
22,65.760796,64.0
23,64.919754,67.0
24,72.296844,72.0
25,67.942894,69.0
26,65.382675,66.0
27,71.5034,71.0
28,71.5655,73.0
29,68.53461,66.0
30,66.23973,66.0
31,70.38904,69.0
32,67.200356,70.0
33,71.76347,74.0
34,71.51958,71.0
35,71.81876,73.0
36,71.05674,72.0
37,71.53522,73.0
38,71.106964,71.0
39,68.10164,68.0
40,70.357124,69.0
41,68.04233,67.0
42,69.90834,70.0
43,72.35969,74.0
44,65.35315,64.0
45,68.57933,69.0
46,67.14618,66.0
47,67.758575,70.0
48,66.97953,69.0
49,69.32122,71.0
50,66.17592,68.0
51,66.75057,68.0
52,63.248566,64.0
53,65.39713,65.0
54,66.687065,66.0
55,67.766624,72.0
56,67.769775,67.0
57,71.431526,71.0
58,66.45463,67.0
59,66.47135,68.0
60,67.72006,68.0
61,66.43721,66.0
62,68.39643,68.0
63,71.17392,74.0
64,65.2761,64.0
65,72.211235,73.0
66,68.40162,71.0
67,67.730934,68.0
68,67.41076,66.0
69,65.5147,65.0
70,70.21094,69.0
71,69.84344,70.0
72,70.88458,71.0
73,71.1767,74.0
74,65.585106,64.0
75,67.322655,70.0
76,65.275475,68.0
77,72.809105,74.0
78,70.62483,67.0
79,71.613976,72.0
80,70.26045,68.0
81,71.05728,73.0
82,71.957985,70.0
83,70.67269,69.0
84,69.60426,71.0
85,66.86625,67.0
86,71.87347,72.0
87,67.67143,66.0
88,66.55214,66.0
89,71.83223,72.0
90,68.84967,69.0
91,67.30884,68.0
92,69.808174,71.0
93,68.795296,65.0
94,69.146,67.0
95,71.37277,72.0
96,68.92417,70.0
97,70.18095,69.0
98,70.41369,74.0
99,66.51392,66.0
100,72.4156,74.0
101,68.2875,68.0
102,66.72822,65.0
103,67.42866,65.0
104,66.5704,66.0
105,71.57633,71.0
106,66.826935,64.0
107,65.38938,69.0
108,69.57469,66.0
109,70.49114,71.0
110,70.84947,73.0
111,71.40538,74.0
112,71.34012,71.0
113,66.75471,64.0
114,66.747955,68.0
115,71.79358,73.0
116,72.82328,74.0
117,72.62773,74.0
118,71.52175,70.0
119,66.81923,69.0
120,64.24088,64.0
121,65.78464,67.0
122,67.58402,66.0
123,71.9485,72.0
124,65.6064,66.0
125,65.813354,64.0
126,66.15957,66.0
127,64.62959,64.0
128,66.21029,64.0
129,72.50602,73.0
130,71.51055,72.0
131,66.12399,67.0
132,69.579636,69.0
133,66.006294,69.0
134,69.761246,72.0
135,70.42981,69.0
136,66.78609,69.0
137,71.90752,73.0
138,70.89889,71.0
139,69.23574,70.0
140,66.69193,66.0
141,71.834526,74.0
142,70.60355,71.0
143,67.92772,67.0
144,71.29049,71.0
145,71.44184,72.0
146,71.21848,70.0
147,67.71974,66.0
148,68.822624,68.0
149,70.38355,72.0
150,70.514465,70.0
151,71.89075,73.0
152,67.835976,68.0
153,68.72346,68.0
154,69.26163,69.0
155,66.22636,67.0
156,71.956665,73.0
157,67.32902,67.0
158,70.349,70.0
159,71.644455,73.0
160,72.39533,74.0
161,69.12538,68.0
162,67.49439,69.0
163,72.6256,74.0
164,68.69808,67.0
165,67.36759,67.0
166,67.86818,66.0
167,70.9521,71.0
168,64.77575,64.0
169,71.15776,73.0
170,72.18938,73.0
171,64.9865,66.0
172,64.00772,64.0
173,73.1727,74.0
174,71.534096,73.0
175,69.55397,68.0
176,71.91298,74.0
177,65.35683,65.0
178,70.451706,69.0
179,72.67941,73.0
180,67.40125,67.0
181,69.39176,64.0
182,67.80744,66.0
183,70.733444,71.0
184,71.04652,72.0
185,70.381676,71.0
186,69.7142,71.0
187,72.79129,74.0
188,72.76021,74.0
189,68.07663,68.0
190,65.870735,67.0
191,72.224266,72.0
192,71.85099,73.0
193,72.20536,73.0
194,68.912346,71.0
195,69.087036,69.0
196,70.872314,70.0
197,71.4408,71.0
198,68.592094,66.0
199,70.531944,72.0
200,70.20101,70.0
201,65.31568,65.0
202,70.27767,72.0
203,66.399536,65.0
204,68.85845,70.0
205,67.6752,65.0
206,70.61452,70.0
207,66.249725,68.0
208,67.695724,68.0
209,70.53085,69.0
210,69.73176,68.0
211,70.563255,71.0
212,71.03368,73.0
213,65.628334,67.0
214,64.65395,64.0
215,65.82442,68.0
216,69.284355,72.0
217,64.40552,65.0
218,70.96209,73.0
219,69.54906,71.0
220,64.67006,65.0
221,68.4073,74.0
222,65.41375,64.0
223,71.701195,74.0
224,69.68752,74.0
225,71.43666,73.0
226,70.70275,70.0
227,67.42744,67.0
228,65.277214,68.0
229,64.72771,65.0
230,70.59233,70.0
231,71.76028,73.0
232,72.18032,74.0
233,65.59051,65.0
234,67.40243,69.0
235,72.06544,72.0
236,68.92581,69.0
237,71.00169,71.0
238,69.44047,73.0
239,71.834366,72.0
240,65.6625,64.0
241,70.03119,70.0
242,71.07129,73.0
243,63.76873,64.0
244,66.871056,64.0
245,66.67776,66.0
246,67.85053,66.0
247,71.68768,70.0
248,65.29539,64.0
249,67.11987,67.0
250,67.55299,68.0
251,64.41314,67.0
252,66.952835,65.0
253,72.828545,74.0
254,67.47987,67.0
255,67.93708,68.0
256,65.99663,65.0
257,68.42515,68.0
258,70.95727,70.0
259,70.781296,70.0
260,65.06489,64.0
261,72.06091,74.0
262,65.64391,66.0
263,73.00369,73.0
264,67.3356,66.0
265,67.42136,67.0
266,71.950874,72.0
267,71.03095,70.0
268,69.22901,69.0
269,67.32325,65.0
270,63.80879,65.0
271,67.08898,65.0
272,65.712715,64.0
273,68.383316,67.0
274,69.66949,70.0
275,65.51646,65.0
276,71.3211,71.0
277,69.59034,70.0
278,66.701614,70.0
279,67.75346,68.0
280,63.918064,66.0
281,72.08683,73.0
282,64.82634,66.0
283,69.04995,70.0
284,66.95068,65.0
285,66.9905,67.0
286,71.65052,73.0
287,72.392334,74.0
288,71.86314,72.0
289,65.1595,67.0
290,63.50273,65.0
291,71.90854,73.0
292,64.70225,66.0
293,66.58741,66.0
294,71.93344,71.0
295,67.98706,69.0
296,64.90786,64.0
297,66.92496,70.0
298,67.993256,68.0
299,68.57776,69.0
300,65.03123,68.0
301,70.82555,74.0
302,64.37821,65.0
303,72.498436,74.0
304,64.50369,64.0
305,69.84741,68.0
306,69.14478,69.0
307,69.52666,69.0
308,69.0084,72.0
309,66.921974,70.0
310,65.138756,65.0
311,71.341034,68.0
312,69.16875,64.0
313,64.546,67.0
314,66.7387,66.0
315,67.80841,68.0
316,70.76928,69.0
317,65.703865,65.0
318,71.741516,73.0
319,68.31734,71.0
320,71.24196,74.0
321,71.489365,72.0
322,64.50262,65.0
323,66.91079,68.0
324,66.276184,68.0
325,71.30228,72.0
326,70.37888,69.0
327,72.23001,74.0
328,72.422424,73.0
329,65.39655,64.0
330,69.26655,70.0
331,70.40501,68.0
332,65.797935,64.0
333,69.112946,68.0
334,64.71345,65.0
335,65.25006,67.0
336,69.30614,69.0
337,67.154945,69.0
338,72.23799,72.0
339,72.433945,73.0
340,65.252106,65.0
341,69.37092,72.0
342,67.952675,69.0
343,63.184372,64.0
344,66.875595,68.0
345,68.544815,65.0
346,70.333595,74.0
347,66.07735,68.0
348,71.47873,72.0
349,71.618546,72.0
350,64.89868,65.0
351,71.314285,74.0
352,71.811,74.0
353,72.25653,72.0
354,71.43496,73.0
355,68.95407,70.0
356,70.98306,71.0
357,65.24101,65.0
358,71.47616,70.0
359,71.72836,72.0
360,70.80442,73.0
361,70.950005,70.0
362,71.81596,72.0
363,69.54104,70.0
364,71.51708,71.0
